Season,Name,Team,IP,RS,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS/9,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Stf+ FA,Stuff+,Location+,Pitching+,K/9,BB/9,HR/9,vFA (sc),K/BB,FIP,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2017,"Andrew Cashner","TEX",166.2,100,0.2660377358490566,1.511494252,0.192236598,0.486136783,0.321626617,0.097701149,0.086206896,5.39998895876281,0.4073,0.3376,0.255,0.1853,0.5303,0.2844,,,,,4.643990504536017,3.4559929336081985,0.8099983438144215,93.84940712832841,1.3438,4.609637202185026,5.2967061354208695,5.517078863210923,"Andrew Cashner",8782,488768
2016,"Jered Weaver","LAA",178,115,0.3006993006993007,0.597938144,0.23013245,0.28807947,0.481788079,0.147766323,0.127147766,5.814606741573034,0.4556,0.3207,0.2237,0.1859,0.4671,0.347,,,,,5.207865168539326,2.5786516853932584,1.8707865168539326,83.21744627054362,2.0196,5.618480031945732,5.6392064926162195,5.440029119432774,"Jered Weaver",4235,450308
2020,"Martín Pérez","BOS",62,31,0.2655367231638418,1.09375,0.263736263,0.384615384,0.351648351,0.09375,0.125,4.5,0.4,0.3676,0.2324,0.1892,0.5081,0.3027,71.42692307692309,86.35329457364342,97.20116279069771,95.28081395348838,6.67741935483871,4.064516129032258,1.1612903225806452,92.18077048277243,1.6429,4.884968179272067,5.198028370641893,5.4317282884587375,"Martin Perez",6902,527048
2018,"Lucas Giolito","CHW",173.1,97,0.26833976833976836,1.188118811,0.182994454,0.44362292,0.373382624,0.0990099,0.133663366,5.036548363575285,0.3982,0.3505,0.2514,0.1688,0.5046,0.3266,,,,,6.490397375741347,4.67308611053377,1.401925833160131,92.36860068259385,1.3889,5.560434863760028,5.460196751768409,5.372835915827222,"Lucas Giolito",15474,608337
2017,"Jeremy Hellickson","- - -",164,89,0.2455795677799607,0.797413793,0.213207547,0.349056603,0.437735849,0.11637931,0.150862068,4.884155316428905,0.454,0.2868,0.2592,0.1985,0.4816,0.3199,,,,,5.268302363788482,2.5792730322714443,1.9207352367978843,90.14637830010776,2.0426,5.767401064224024,5.509365817804479,5.365465805529071,"Jeremy Hellickson",4371,476451
2017,"Ty Blach","SFG",163.2,81,0.2903225806451613,1.466292134,0.214669051,0.466905187,0.31842576,0.073033707,0.095505617,4.454165878478822,0.3826,0.3339,0.2835,0.1843,0.5043,0.3113,,,,,4.014248260851284,2.3645571947480164,0.9348249374585181,90.63333037405303,1.6977,4.422403321730197,5.006680730641534,5.357883197876804,"Ty Blach",14361,621389
2019,"Sandy Alcantara","MIA",197.1,67,0.271304347826087,1.240566037,0.194915254,0.445762711,0.359322033,0.108490566,0.108490566,3.055748520287974,0.4064,0.3512,0.2425,0.1973,0.4565,0.3462,,,,,6.886836217365434,3.694263136467551,1.0489882980093046,95.62165058949626,1.8642,4.551850100730946,5.1737030262334525,5.279816604511224,"Sandy Alcantara",18684,645261
2019,"Brad Keller","KCR",165.1,70,0.281947261663286,1.721088435,0.209486166,0.5,0.290513833,0.074829931,0.102040816,3.8104917250278096,0.4114,0.3268,0.2618,0.1516,0.4823,0.3661,,,,,6.641142720762754,3.8104917250278096,0.8165339410773877,93.66548984995588,1.7429,4.351109070489973,4.940305312448694,5.230411058235635,"Brad Keller",15734,641745
2017,"José Ureña","MIA",169.2,109,0.2485207100591716,1.12562814,0.186538461,0.43076923,0.382692307,0.090452261,0.130653266,5.78193810529107,0.4323,0.3289,0.2387,0.1842,0.4981,0.3177,,,,,5.994119320164137,3.394899437969069,1.3791778966749342,95.78746054730854,1.7656,5.196937402886613,5.291132884798522,5.19417660737364,"Jose Urena",11589,570632
2019,"Mike Fiers","OAK",184.2,114,0.2537313432835821,1.027649769,0.212880143,0.398926654,0.388193202,0.138248847,0.138248847,5.555946425884521,0.4382,0.3039,0.258,0.1696,0.4399,0.3905,,,,,6.140782891767103,2.5830277243147335,1.462091164706453,90.39580530139935,2.3774,4.968519350192909,5.194104522974259,5.189999407524801,"Mike Fiers",7754,571666
2019,"Brett Anderson","OAK",176,119,0.2775862068965517,2.146666666,0.201353637,0.544839255,0.253807106,0.066666666,0.133333333,6.0852272727272725,0.415,0.3783,0.2067,0.145,0.4533,0.4017,,,,,4.6022727272727275,2.5056818181818183,1.0227272727272727,89.38357314908723,1.8367,4.571964497999712,4.790039508925243,5.173385382477315,"Brett Anderson",8223,474463
2019,"Iván Nova","CHW",187,97,0.3217821782178218,1.521052631,0.236044657,0.460925039,0.303030303,0.1,0.157894736,4.668449197860962,0.4535,0.3386,0.2079,0.1732,0.4961,0.3307,,,,,5.4866310160427805,2.2620320855614975,1.4438502673796791,92.45814098011364,2.4255,4.978715834898107,4.914274778404337,5.1632500727684,"Ivan Nova",1994,467100
2023,"Jordan Lyles","KCR",177.2,109,0.25464684014869887,0.689530685,0.178947368,0.335087719,0.485964912,0.129963898,0.140794223,5.521565394163396,0.4626,0.32,0.2174,0.1391,0.5287,0.3322,75.2407450523865,85.16859799713876,101.0792203147353,96.83136623748207,6.078787589904656,2.279545346214246,1.9756059667190131,91.21338402211875,2.6667,5.619012834289501,5.343096428053256,5.147211446816468,"Jordan Lyles",7593,543475
2016,"James Shields","- - -",181.2,65,0.3016157989228007,1.057777777,0.213921901,0.404074702,0.382003395,0.066666666,0.177777777,3.220190022705544,0.4286,0.3277,0.2437,0.1529,0.5092,0.3378,,,,,6.6880869702345915,4.062393567105456,1.9816553985880272,90.46482369223364,1.6463,6.008961050879998,5.209471955235046,5.123178365815461,"James Shields",7059,448306
