Rk.,Player,Year,Pitches,Total,Pitch %,PA,Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),wOBA,xwOBA,BABIP,Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),xWOBA/Average xWOBA of Year
41,"Castillo, Luis RHP",2023,1423,3207,44.4,320,12.0 ARM,13.6,0.278,0.299,0.205,33,96.3,94.8,2287,5.2,-2.42,5.5,0.8575641285
44,"Lynn, Lance RHP",2023,1385,3167,43.7,327,3.2 ARM,13.5,0.359,0.349,0.291,31.6,92.4,93,2424,5.64,-3.04,6.5,1.000969501
64,"López, Pablo RHP",2023,1043,3024,34.5,257,5.0 ARM,14.3,0.347,0.3,0.378,31.5,94.9,96.7,2262,5.53,-1.97,7.2,0.8604322359
46,"Wheeler, Zack RHP",2023,1370,3155,43.4,320,6.3 ARM,15.3,0.252,0.259,0.266,31.4,95.8,97.5,2495,5.44,-1.97,7.3,0.7428398303
70,"Keller, Mitch RHP",2023,814,3119,26.1,215,9.0 ARM,15,0.273,0.279,0.289,30.2,95.2,95.7,2377,5.83,-2.13,6.6,0.8002019794
1,"Bickford, Phil RHP",2023,873,1229,71,205,5.7 ARM,15.8,0.282,0.324,0.257,30,93.7,94.7,2353,5.09,-2.39,6.9,0.9292668148
22,"Peralta, Freddy RHP",2023,1453,2839,51.2,340,6.9 ARM,15.5,0.294,0.286,0.283,29.2,94.4,95.5,2414,5.08,-2.8,6.9,0.8202787316
7,"Strider, Spencer RHP",2023,1826,3100,58.9,435,6.1 ARM,18.4,0.33,0.317,0.332,28.7,97.2,98.3,2362,5.88,-2,7,0.9091900626
11,"Ryan, Joe RHP",2023,1526,2683,56.9,357,10.3 ARM,14.6,0.313,0.274,0.312,28.7,92.3,92.7,2216,4.97,-2.6,6.5,0.7858614421
58,"Kirby, George RHP",2023,1112,2825,39.4,306,8.3 ARM,15.2,0.282,0.306,0.297,28,96.1,96.4,2209,5.92,-1.52,6.4,0.8776408806
36,"Ober, Bailey RHP",2023,1063,2327,45.7,252,7.5 ARM,16.5,0.311,0.306,0.273,27.7,91.3,93.3,2313,5.81,-1.4,7.3,0.8776408806
9,"Miller, Bryce RHP",2023,1224,2095,58.4,312,3.5 ARM,18.4,0.327,0.33,0.314,27.1,95.1,95,2591,5.76,-0.87,6.2,0.9464754595
37,"Kikuchi, Yusei LHP",2023,1271,2818,45.1,250,9.8 ARM,16.2,0.329,0.312,0.34,26.8,95.1,95.9,2340,5.32,2.42,6.9,0.8948495254
8,"Javier, Cristian RHP",2023,1682,2882,58.4,450,5.6 ARM,18.6,0.329,0.342,0.258,26.5,92.7,91.6,2255,5.72,-1.73,6,0.9808927489
5,"Kopech, Michael RHP",2023,1492,2430,61.4,369,9.0 ARM,17.2,0.39,0.39,0.276,26.4,95.2,96,2501,5.71,-2.52,6.8,1.118561907
62,"Kremer, Dean RHP",2023,1084,2925,37.1,254,9.7 ARM,16.8,0.314,0.335,0.316,26.2,94.6,94.4,2304,5.85,-2.43,6.3,0.9608159968
68,"Kelly, Merrill RHP",2023,842,2803,30,203,7.4 ARM,14.7,0.346,0.33,0.257,25.9,92.2,92.1,2345,5.45,-1.77,6.2,0.9464754595
10,"Heaney, Andrew LHP",2023,1506,2603,57.9,327,15.9 ARM,13.9,0.343,0.336,0.291,25.6,92.5,92.4,2413,4.99,2.85,6.5,0.9636841042
12,"Fujinami, Shintaro RHP",2023,794,1404,56.6,210,11.1 ARM,14,0.348,0.345,0.296,25.5,98.4,99.5,2014,5.52,-2.02,6.9,0.9894970713
