Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",147.495,659.488,566.757,176.426,106.228,32.916,2.28518,34.9971,119.31,92.0658,77.2998,3.80472,104.349,10.2324,4.01182,1.18678,9.73463,51.0161,13.1877,0.311291,0.117212,0.158227,0.740781,0.400969,0.562682,0.407927,0.963651,0.251391,6.42368,0.327821,1.69847,3.17335,129.403,49.0485,157.189,4.87182,0.450307,51.59576177597046,-6.565867781639099,6.73082,1.0499999523162842,5.34964,-0.649822,1.17593,"18401"
"Mookie Betts","LAD",149.248,661.591,566.655,160.562,90.3021,35.2904,2.1215,32.8485,111.408,94.3107,80.6493,1.98423,103.548,8.35075,4.7412,1.19495,7.42723,12.8566,3.56211,0.283351,0.121902,0.156514,0.778859,0.377898,0.527025,0.385099,0.904923,0.243674,4.93673,0.293596,0.907794,-0.298431,117.273,36.6617,145.654,0.609363,-0.959907,37.41413086652756,1.8656757473945618,6.16109,4.610000133514404,2.82935,2.0823,0.879842,"13611"
"Aaron Judge","NYY",138.34,602.03,497.255,136.513,71.1152,21.8084,0.306834,43.2827,99.7819,106.441,95.9113,8.9788,162.167,4.13337,4.27347,0.457381,8.60516,6.40283,2.48429,0.274533,0.159313,0.269366,0.591437,0.393232,0.580755,0.406024,0.973987,0.306222,3.27382,0.314883,0.20536,-1.01762,117.178,43.8239,159.916,-0.812264,-0.589481,43.141750156879425,-3.4511308073997498,6.00002,13.170000076293945,3.90825,0.00252565,1.40022,"15640"
"Juan Soto","NYY",153.041,665.104,529.972,147.774,82.5827,26.9231,1.53784,36.7303,104.768,99.8235,126.781,8.24286,110.48,3.77292,3.65059,0.926754,14.5805,10.5678,3.98452,0.278834,0.190619,0.16611,1.14755,0.419058,0.543357,0.408002,0.962414,0.264523,3.96805,0.287371,-0.922394,-1.14695,130.547,49.5076,161.264,-2.06935,-1.05152,47.5820791721344,-10.084592938423157,5.99527,9.819999694824219,1.38298,-0.0589656,0.962347,"20123"
"Yordan Alvarez","HOU",137.322,594.345,501.717,148.236,77.9564,30.4022,1.68375,38.1936,94.8495,105.336,77.7697,5.39814,116.064,9.25207,5.08713,0.518385,9.80697,0.736692,0.358073,0.295457,0.130849,0.195281,0.670056,0.396173,0.591142,0.412758,0.987315,0.295685,2.61929,0.312136,-0.296706,-1.23338,119.005,46.588,167.992,-1.53009,-0.678445,46.89011085033417,-12.88195550441742,5.40417,15.819999694824219,2.40171,0.547775,1.47485,"19556"
"Julio Rodríguez","SEA",150.643,661.807,597.827,167.025,99.73,33.4115,2.60143,31.2823,98.8456,91.0207,50.9957,4.64777,155.927,9.31103,2.66968,1.00272,9.10742,32.1113,8.95877,0.279387,0.0770554,0.235608,0.327049,0.344023,0.500958,0.358693,0.844981,0.221571,6.13036,0.328447,0.652152,1.44367,102.798,22.1605,133.947,2.09582,-0.0102535,29.01509189605713,2.1207622308284044,5.34623,3.450000047683716,2.06063,-1.78351,0.399308,"23697"
"José Ramírez","CLE",150.998,655.531,576.138,158.801,92.0337,36.3568,3.89868,26.5119,89.8998,93.5131,68.3092,10,76.5794,4.68347,6.03771,0.362604,7.33392,24.1946,7.25284,0.27563,0.104204,0.11682,0.892004,0.353793,0.490318,0.355983,0.844111,0.214688,5.69511,0.276129,1.1855,0.583154,100.347,20.4748,129.894,1.76865,1.68414,25.24942457675934,2.4278258681297302,4.98009,15.25,3.93046,-1.85554,0.299201,"13510"
"Corey Seager","TEX",132.278,578.392,512.15,150.146,86.2998,32.5035,1.17656,30.1657,85.2096,89.8166,54.8238,5.5568,93.6313,5.79957,4.86807,0.750561,10.2578,2.51168,0.930893,0.293167,0.0947866,0.161882,0.585528,0.364879,0.537927,0.379989,0.902806,0.24476,3.05219,0.305121,-0.405261,-0.979819,100.07,29.5968,142.009,-1.38508,-1.60354,27.72827184200287,2.5289134979248047,4.9761,30.170000076293945,3.49108,1.05607,1.1056,"13624"
"Adley Rutschman","BAL",143.759,602.569,515.775,138.873,88.8375,30.4055,1.23677,18.3937,77.905,69.2744,76.4197,2.86015,95.0363,5.28993,4.15431,0.930212,11.5381,2.25455,1.03742,0.269252,0.126823,0.157718,0.804111,0.366637,0.439986,0.350803,0.806622,0.170734,2.81963,0.296384,0.650102,-1.27901,89.6478,16.2283,126.496,-0.628908,3.76292,18.501180708408356,10.122637748718262,4.89511,53.130001068115234,3.40952,-2.23604,0.610894,"26288"
"Gunnar Henderson","BAL",145.759,620.215,548.536,143.409,82.8742,28.9754,5.66061,25.899,88.3417,82.7133,62.4144,1.2661,155.383,5.08691,3.67244,0.505103,9.49441,11.5851,3.35969,0.26144,0.100634,0.250531,0.40168,0.340338,0.476546,0.349602,0.816884,0.215106,5.75008,0.316802,0.527682,-0.24994,91.6545,16.085,125.664,0.277742,2.27861,19.349514096975327,7.984889030456543,4.8263,32.779998779296875,2.02354,-1.73967,0.459943,"26289"
