Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",157,679,579,180,104,34,2,40,135,106,82,4,109,11,4,3,,53,12,0.3111,0.120854,0.16052,0.752887,0.403598,0.583372,0.415958,0.98697,0.272272,6.75462,0.32307,1.62908,3.9202,137.761,55.0284,162.573,5.54928,0.710667,58.18434429168701,-6.764332950115204,7.43432,1.0499999523162842,,,,"18401"
"Aaron Judge","NYY",152,658,547,148,78,23,0,46,107,116,101,11,177,4,5,1,,7,2,0.270455,0.152987,0.268542,0.569694,0.38483,0.568451,0.39726,0.953281,0.297996,3.13081,0.308845,0.0523595,-0.800203,123.282,43.1088,158.459,-0.747844,2.61598,45.34227079153061,-0.5340240001678467,6.69672,13.170000076293945,,,,"15640"
"Juan Soto","NYY",157,679,537,150,86,26,1,36,111,105,133,11,110,4,4,2,,11,4,0.279493,0.196092,0.162551,1.20634,0.423286,0.53587,0.406491,0.959156,0.256377,3.83945,0.288585,-0.855306,-1.1835,132.422,49.6899,164.857,-2.03881,-1.36665,50.727559089660645,-10.64164662361145,6.29694,9.819999694824219,,,,"20123"
"Mookie Betts","LAD",157,679,578,161,92,35,2,33,115,96,85,3,106,9,5,3,,13,3,0.279436,0.124656,0.156374,0.797162,0.376901,0.516247,0.380934,0.893148,0.236812,5.01706,0.290127,0.940845,-0.219851,118.01,35.2778,142.884,0.720994,-2.78386,36.79398459196091,0.19113492965698242,5.9949,4.610000133514404,,,,"13611"
"Fernando Tatis Jr.","SDP",156,672,596,163,89,34,2,38,108,103,64,1,148,5,5,3,,27,6,0.273393,0.0950269,0.220038,0.431865,0.346137,0.52586,0.369094,0.871997,0.252467,5.8119,0.302111,1.13625,1.63494,110.186,28.3065,137.786,2.77118,7.72299,34.228463649749756,0.5229945182800293,5.74839,8.40999984741211,,,,"19709"
"Yordan Alvarez","HOU",141,609,516,154,82,32,2,38,101,111,77,7,120,10,5,1,,1,1,0.298509,0.126178,0.197752,0.638065,0.396007,0.591379,0.412349,0.987386,0.29287,3.15006,0.319486,-0.28057,-1.35443,121.733,47.5303,167.709,-1.635,-0.00822414,47.77261579036713,-12.533223756588995,5.57658,15.819999694824219,,,,"19556"
"Julio Rodríguez","SEA",156,672,607,169,102,33,2,33,101,99,50,5,155,10,3,2,,33,10,0.278275,0.0737612,0.230105,0.320554,0.340736,0.500209,0.356396,0.840946,0.221934,5.89347,0.322268,1.1871,1.1438,103.099,21.2194,132.354,2.3309,1.70459,28.38236379623413,3.9045910835266113,5.49554,3.450000047683716,,,,"23697"
"Gunnar Henderson","BAL",154,665,584,152,89,29,7,28,98,95,69,1,161,6,5,1,,12,4,0.260689,0.104175,0.242375,0.429809,0.342259,0.475576,0.350254,0.817834,0.214887,5.953,0.311171,0.982018,-0.714161,98.633,17.6066,126.115,0.267857,3.40932,21.076918363571167,9.434317111968994,5.29476,32.779998779296875,,,,"26289"
"Adley Rutschman","BAL",146,586,500,134,83,32,1,18,80,68,75,3,90,5,4,2,,3,1,0.26872,0.128234,0.154423,0.830405,0.367024,0.447127,0.352951,0.814151,0.178407,3.03974,0.293524,0.622864,-1.21592,88.1682,16.8162,127.985,-0.593057,2.31553,19.043231070041656,8.765530347824097,5.29271,53.130001068115234,,,,"26288"
"José Ramírez","CLE",152,658,577,161,93,37,4,27,92,96,70,17,79,5,6,1,,23,6,0.279444,0.107138,0.120502,0.889098,0.359459,0.497787,0.357892,0.857246,0.218343,5.68717,0.282084,1.05225,0.87951,101.768,21.5949,131.217,1.93176,2.23841,26.54398000240326,2.9884079694747925,5.17345,15.25,,,,"13510"
