Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",150,695.049,594.553,189,113.865,34.2834,2.7581,38.0934,134.74,99.4493,79.0966,3.4752,107.971,10.4257,4.3338,6.6399,,56.0624,14.6342,0.317886,0.1138,0.155343,0.732574,0.404589,0.577039,0.414631,0.981627,0.259152,6.94047,0.333258,2.078,3.49536,140.251,55.5632,161.683,5.57336,-0.391,58.68659543991089,-8.096999853849411,7.40603,1.0499999523162842,,,,"18401"
"Juan Soto","NYY",150,673.76,530.94,150.615,84.2952,26.5915,1.401,38.3269,116.33,103.237,130.507,9.4326,108.79,4.0426,4.9008,3.3691,,11.4243,4.5538,0.283675,0.1937,0.161466,1.19963,0.425371,0.555597,0.414046,0.980968,0.271922,3.95977,0.288862,-1.091,-1.25075,135.628,53.5339,170.093,-2.34175,-0.721,54.244818925857544,-10.28300029039383,6.66569,9.819999694824219,,,,"20123"
"Aaron Judge","NYY",150,669.665,554.575,149.599,80.024,23.014,0.6204,45.9409,110.29,113.613,102.994,12.054,178.906,4.6877,4.9567,2.451,,8.2083,3.036,0.269755,0.1538,0.267157,0.57569,0.385606,0.56201,0.395293,0.947616,0.292255,3.48851,0.309719,0.067,-0.99319,124.374,42.7791,157.095,-0.92619,-1.995,44.88700032234192,-5.346000075340271,6.21099,13.170000076293945,,,,"15640"
"Mookie Betts","LAD",150,694.852,593.683,166.635,95.0675,36.1355,1.5748,33.8567,116.025,90.3667,81.1587,2.0846,109.178,9.0331,4.3343,6.6423,,14.178,3.8373,0.280679,0.1168,0.157125,0.743359,0.37318,0.517936,0.380038,0.891116,0.237256,4.79622,0.291831,1.188,-0.195424,120.248,35.5843,142.283,0.992576,-2.063,37.390556037425995,1.003999948501587,6.1893,4.610000133514404,,,,"13611"
"Yordan Alvarez","HOU",140.94,628.948,530.526,158.566,84.4342,32.7176,2.1894,39.2251,107.318,108.146,81.0714,6.2895,124.514,10.0632,4.584,2.704,,1.3825,0.6124,0.298885,0.1289,0.197972,0.651101,0.398728,0.590618,0.413904,0.989346,0.291733,3.31612,0.321354,-0.371,-1.2863,126.533,49.8993,168.786,-1.6573,-0.053,50.18080198764801,-13.580000426620245,5.7799,15.819999694824219,,,,"19556"
"Adley Rutschman","BAL",137.41,618.907,523.887,142.443,90.627,31.0588,1.291,19.4661,87.3337,70.8091,81.6338,3.7134,96.9191,4.9513,4.3815,4.0533,,3.1871,1.3855,0.271896,0.1319,0.156597,0.842288,0.372492,0.447581,0.35584,0.820073,0.175685,3.1932,0.298572,0.78,-1.2842,94.6678,19.2576,129.987,-0.504198,0.219,21.733873426914215,6.486000195145607,5.72704,53.130001068115234,,,,"26288"
"Fernando Tatis Jr.","SDP",150,679.744,601.171,167.333,94.6563,34.5118,1.4601,36.7053,106.543,99.0449,63.828,0.6797,145.544,5.438,4.787,4.5202,,26.5311,8.0146,0.278346,0.0939,0.214115,0.438549,0.350401,0.52378,0.370927,0.874182,0.245434,5.31021,0.308297,1.448,0.665629,112.49,29.6675,139.015,2.11363,5.998,34.96825075149536,-1.501999855041504,5.64654,8.40999984741211,,,,"19709"
"Julio Rodríguez","SEA",150,676.78,606.554,171.386,100.918,34.5629,2.5895,33.3158,102.947,95.3199,51.5707,5.4142,153.579,9.4749,4.7596,4.4213,,31.4911,10.8926,0.282557,0.0762001,0.226927,0.335792,0.345695,0.512856,0.362671,0.858552,0.2303,6.02082,0.325316,1.53,0.494464,107.359,24.8974,136.704,2.02446,-1.118,31.788239002227783,1.1740000247955322,5.57907,3.450000047683716,,,,"23697"
"José Ramírez","CLE",150,664.311,580.049,163.69,95.6035,36.4433,4.0333,27.6099,93.6605,97.4712,72.742,17.9364,82.3089,5.3145,5.058,1.1474,,23.2369,6.7849,0.2822,0.1095,0.123901,0.883768,0.364535,0.501733,0.361669,0.866268,0.219533,5.6257,0.286371,1.382,0.583753,104.829,23.8862,133.835,1.96575,0.72,28.89815866947174,1.5180000066757202,5.28295,15.25,,,,"13510"
"Gunnar Henderson","BAL",150,655.987,576.87,150.636,87.0599,29.6472,5.8814,28.0474,87.9207,91.7173,66.9763,0.656,156.043,5.2479,4.9092,1.9837,,10.9775,4.3972,0.261126,0.1021,0.237876,0.429216,0.340763,0.47877,0.350666,0.819533,0.217644,5.32305,0.308253,1.279,-0.882711,97.5207,17.5925,126.401,0.396289,1.909,21.14779230952263,8.251000046730042,5.15331,32.779998779296875,,,,"26289"
