Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",147.525,659.752,568.822,172.654,104.362,32.7975,2.51717,32.978,120.375,88.6895,76.3255,3.87495,104.102,10.2683,3.59394,0.599468,10.23,56.5188,14.247,0.303529,0.115688,0.15779,0.733179,0.39339,0.543966,0.398099,0.937356,0.240437,6.95073,0.320847,,3.84894,124.07,43.6831,150.601,3.84894,5.03,45.206568002700806,-1.9876232147216797,6.55113,1.0499999523162842,,,,"18401"
"Mookie Betts","LAD",149.154,661.068,567.358,159.488,87.6014,35.0997,2.57518,34.2116,103.446,100.11,80.2272,1.60768,103.074,7.94387,4.91255,0.626678,9.28817,13.9722,3.89993,0.281106,0.12136,0.155921,0.778345,0.37499,0.532949,0.385605,0.907939,0.251843,5.02264,0.288002,,-0.193603,117.458,36.9107,146.015,-0.193603,1.04,37.49119581282139,3.8638079166412354,6.36974,4.610000133514404,,,,"13611"
"Aaron Judge","NYY",138.278,600.98,496.684,136.511,68.0562,21.6732,0.526265,46.2555,100.071,111.633,94.9471,8.65775,162.046,4.90293,3.39071,0.452915,8.98733,7.41069,3.09314,0.274845,0.157987,0.269636,0.585928,0.393985,0.599986,0.412932,0.99397,0.325141,3.32099,0.309334,,-1.05044,120.421,47.195,169.321,-1.05044,-5.21,48.86752426624298,-8.070360660552979,6.10362,13.170000076293945,,,,"15640"
"Juan Soto","NYY",152.916,664.22,529.538,145.904,81.8364,26.9341,1.89889,35.235,106.029,95.3458,125.82,8.36338,109.395,4.25032,3.91145,0.700467,15.124,10.1299,4.42994,0.275532,0.189425,0.164697,1.15014,0.415925,0.533185,0.403172,0.94911,0.257653,3.95634,0.28463,,-1.41213,127.709,46.7775,162.556,-1.41213,-0.78,48.37482976913452,-9.805683374404907,6.09564,9.819999694824219,,,,"20123"
"Adley Rutschman","BAL",142.983,602.375,517.732,138.467,90.0085,29.3088,1.60721,17.5428,74.8289,70.7287,74.7143,2.68162,93.9936,5.31238,4.04467,0.571417,12.5231,2.45862,1.09896,0.26745,0.124033,0.156038,0.794888,0.363065,0.43192,0.346428,0.794985,0.16447,3.06396,0.294765,,-1.2616,87.4301,14.0342,123.463,-1.2616,12.46,15.67345666885376,18.785379886627197,5.47631,53.130001068115234,,,,"26288"
"Corey Seager","TEX",130.699,570.948,503.325,148.35,83.5019,31.59,1.2909,31.967,82.058,93.3555,55.3973,5.14212,91.9473,5.61652,4.57486,0.523194,11.3062,1.6521,0.841389,0.29474,0.0970269,0.161043,0.602489,0.368006,0.553167,0.386902,0.921173,0.258427,2.63754,0.303092,,-1.0986,102.061,32.4941,146.8,-1.0986,-0.05,30.91828143596649,4.033114146441221,5.41898,30.170000076293945,,,,"13624"
"Yordan Alvarez","HOU",137.422,593.97,504.476,149.907,80.1108,31.5478,1.53894,36.709,94.5112,101.861,75.5508,5.33217,114.984,8.3455,5.0964,0.501412,10.6761,0.314275,0.149475,0.297153,0.127196,0.193586,0.657053,0.39396,0.58409,0.409506,0.97805,0.286937,2.45492,0.316301,,-1.22285,117.327,44.9548,165.738,-1.22285,-0.41,45.562989830970764,-12.622363239526749,5.29645,15.819999694824219,,,,"19556"
"José Ramírez","CLE",150.822,655.092,575.474,158.765,91.3931,35.53,4.28938,27.5527,93.8411,93.3921,68.1145,12.8513,72.5573,4.83804,6.08784,0.577836,7.51149,29.2885,9.49108,0.275886,0.103977,0.110759,0.938769,0.35403,0.496169,0.356522,0.850199,0.220283,5.97184,0.272535,,0.684441,100.573,20.7541,130.267,0.684441,4.9,24.44245797395706,5.642819166183472,5.21873,15.25,,,,"13510"
"Julio Rodríguez","SEA",150.631,661.583,596.614,168.56,100.898,32.9731,3.22633,31.4621,101.754,88.0927,51.235,4.71257,158.137,9.91262,3.14247,0.678592,10.0062,33.3692,9.28522,0.282528,0.0774431,0.239028,0.323992,0.347566,0.506813,0.362308,0.854379,0.224286,6.23934,0.334256,,1.54247,104.749,24.1392,136.452,1.54247,-3.07,30.43878734111786,-0.9391603469848633,5.18231,3.450000047683716,,,,"23697"
"Fernando Tatis Jr.","SDP",146.959,646.175,571.641,155.493,87.0281,31.856,2.99032,33.6186,101.489,94.4633,63.277,2.09712,147.856,6.20906,4.217,0.831206,10.3083,31.4163,8.26221,0.272012,0.0979254,0.228818,0.427962,0.348619,0.514634,0.36623,0.863253,0.242622,6.16994,0.309026,,1.60617,104.414,25.6816,135.866,1.60617,4.78,30.31743621826172,-2.0236573219299316,5.01671,8.40999984741211,,,,"19709"
"Shohei Ohtani","LAD",139.36,608.207,515.983,150.446,79.0388,27.1442,5.33793,38.9254,108.012,102.856,82.0997,12.0288,138.11,4.75385,3.83979,0.561149,9.07875,22.1118,11.121,0.291572,0.134986,0.227078,0.594451,0.391148,0.591188,0.407156,0.982335,0.299615,6.0955,0.325336,,-1.45709,118.952,44.8451,160.463,-1.45709,0,44.10021448135376,-15.0543212890625,4.96271,11.079999923706055,,,,"19755"
"Will Smith","LAD",123.627,510.568,437.928,114.463,67.9807,23.7945,1.70598,20.9814,68.037,70.7689,55.446,2.23276,85.0763,10.8519,5.6741,0.471941,8.29678,1.84637,0.519126,0.261373,0.108597,0.166631,0.651721,0.354502,0.46723,0.353037,0.821732,0.205857,3.23728,0.276945,,-0.867268,76.9074,14.6977,124.182,-0.867268,8.98,14.428335785865784,17.374424934387207,4.9059,85.47000122070312,,,,"19197"
