Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",147.525,659.752,568.302,178.859,103.015,36.1405,2.00335,37.7007,124.915,97.8189,77.0568,5.28849,104.101,10.2461,3.54918,0.598249,10.3655,51.3301,17.2916,0.314726,0.116797,0.157788,0.740212,0.403794,0.584388,0.415905,0.988182,0.269662,6.40664,0.328238,,1.54195,133.826,53.4394,162.537,1.54195,5.03,52.65587639808655,-1.9876232147216797,7.29396,1.0499999523162842,,,,"18401"
"Mookie Betts","LAD",149.154,661.068,566.735,160.479,90.4924,35.3111,2.9405,31.7345,102.91,97.0821,80.8452,2.60125,103.337,7.932,4.93077,0.625204,9.34522,12.7677,5.07749,0.283163,0.122295,0.156319,0.782342,0.377407,0.523833,0.383379,0.90124,0.240669,4.79454,0.294883,,-0.950802,116.236,35.6887,144.523,-0.950802,1.04,35.51203513145447,3.8638079166412354,6.17238,4.610000133514404,,,,"13611"
"Aaron Judge","NYY",138.278,600.98,496.32,136.513,67.3856,24.3276,0.552904,44.2465,99.4935,109.191,95.5962,9.03763,163.745,4.89992,3.38688,0.449556,8.8622,7.14394,3.18435,0.27505,0.159067,0.272464,0.58381,0.394881,0.593741,0.41116,0.988622,0.318691,3.28854,0.316288,,-1.13917,119.536,46.3106,168.093,-1.13917,-5.21,47.89430904388428,-8.070360660552979,6.00658,13.170000076293945,,,,"15640"
"Juan Soto","NYY",152.916,664.22,531.205,144.845,80.6344,27.0034,1.75183,35.4558,105.754,95.3896,124.142,7.1809,110.636,4.2581,3.91359,0.70089,15.0956,10.1775,4.07168,0.272673,0.186899,0.166566,1.12207,0.411813,0.530341,0.400767,0.942154,0.257668,4.01657,0.281188,,-1.23837,126.382,45.4508,160.889,-1.23837,-0.78,47.22190713882446,-9.805683374404907,5.98067,9.819999694824219,,,,"20123"
"Fernando Tatis Jr.","SDP",146.959,646.175,570.183,159.912,87.5585,33.0808,3.57203,35.7006,104.937,98.6391,64.7798,3.27153,147.28,6.19781,4.18502,0.829146,10.3106,31.3185,8.3896,0.280457,0.100251,0.227926,0.439841,0.357776,0.538842,0.378263,0.896618,0.258385,6.39431,0.317361,,1.5263,110.872,32.1392,143.933,1.5263,4.78,36.695255279541016,-2.0236573219299316,5.65269,8.40999984741211,,,,"19709"
"Adley Rutschman","BAL",142.983,602.375,518.225,138.667,90.9968,27.9861,2.18625,17.4973,75.3531,70.1628,74.2208,3.09681,94.1074,5.30881,4.04895,0.571641,12.4487,2.6022,0.979052,0.26758,0.123214,0.156227,0.788682,0.36257,0.431313,0.345682,0.793884,0.163733,3.14737,0.295053,,-1.18286,87.057,13.6611,122.946,-1.18286,12.46,15.37906551361084,18.785379886627197,5.44695,53.130001068115234,,,,"26288"
"Corey Seager","TEX",130.699,570.948,502.645,147.737,83.7561,31.1,1.45814,31.4229,82.0124,93.0722,56.2776,4.99727,93.1047,5.61805,4.5572,0.520363,11.3095,1.61203,0.734844,0.293919,0.0985686,0.16307,0.604455,0.36836,0.549139,0.385793,0.917499,0.25522,2.64868,0.303951,,-1.07151,101.535,31.9679,146.031,-1.07151,-0.05,30.419162154197693,4.033114146441221,5.36921,30.170000076293945,,,,"13624"
"Yordan Alvarez","HOU",137.422,593.97,503.532,147.858,77.6602,30.403,1.49348,38.3018,95.1441,104.197,76.5553,5.70428,116.094,8.34034,5.04377,0.498472,10.5757,0.222445,0.122836,0.293643,0.128887,0.195454,0.659425,0.392191,0.588153,0.409713,0.980343,0.29451,2.3969,0.309325,,-1.21592,117.429,45.0569,165.882,-1.21592,-0.41,45.67200231552124,-12.622363239526749,5.30732,15.819999694824219,,,,"19556"
"Bobby Witt Jr.","KCR",151.985,658.057,603.965,171.56,99.0998,36.1496,5.81181,30.4988,105.661,88.7936,42.0791,2.42314,121.29,5.60466,5.38189,1.02664,5.60109,46.4807,9.24342,0.284056,0.0639444,0.184315,0.346929,0.333689,0.514648,0.357965,0.848337,0.230592,7.60891,0.308291,,4.28238,101.817,21.6371,124.978,4.28238,-0.88,23.977064609527588,6.156342625617981,5.23357,2.5799999237060547,,,,"25764"
"Will Smith","LAD",123.627,510.568,438.723,118.06,70.2831,23.9478,1.86803,21.9612,70.1861,72.3737,54.866,2.3384,85.6423,10.8496,5.65796,0.471722,8.35361,1.77719,0.685378,0.2691,0.107461,0.167739,0.640641,0.360277,0.482372,0.360776,0.842649,0.213272,3.19403,0.285349,,-0.963714,80.1891,17.9793,129.37,-0.963714,8.98,17.613533437252045,17.374424934387207,5.22352,85.47000122070312,,,,"19197"
