Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",157,679,577,176,98,34,2,42,138,114,87,4,113,11,4,0,,50,10,0.304274,0.127907,0.165698,0.77193,0.402616,0.589744,0.417273,0.99236,0.28547,6.82681,0.3125,0,4.42576,138.502,55.7701,163.455,4.42576,1.8225,57.80246448516846,-5.6524999141693115,7.5071,1.0499999523162842,,,,"18401"
"Aaron Judge","NYY",152,658,550,149,77,24,0,48,106,120,100,11,178,4,5,0,,6,1,0.27115,0.152174,0.269928,0.563758,0.384058,0.574837,0.399217,0.958895,0.303688,3.02278,0.307971,0,-0.624517,124.351,44.1779,159.815,-0.624517,7.128,46.53467816114426,3.9780001640319824,7.26555,13.170000076293945,,,,"15640"
"Juan Soto","NYY",157,679,538,148,87,26,1,34,104,106,135,13,111,3,3,0,,11,4,0.275335,0.198485,0.163636,1.21296,0.421212,0.516252,0.398931,0.937465,0.240918,3.72213,0.288312,0,-1.10653,128.159,45.4266,159.617,-1.10653,-2.13371,47.3965208530426,-11.40871000289917,5.88829,9.819999694824219,,,,"20123"
"Mookie Betts","LAD",157,679,575,160,91,35,2,32,117,105,90,3,106,8,5,0,,13,3,0.278182,0.132512,0.155624,0.851485,0.380586,0.514546,0.381823,0.895131,0.236364,4.98755,0.288416,0,-0.248736,118.511,35.7792,143.48,-0.248736,-3.40653,36.32559725642204,-0.4315314292907715,5.88611,4.610000133514404,,,,"13611"
"Fernando Tatis Jr.","SDP",156,672,598,160,85,34,2,39,110,109,65,2,152,4,4,1,,28,4,0.268468,0.0961538,0.225962,0.425532,0.341894,0.527928,0.367266,0.869822,0.259459,6.07416,0.295812,0,2.61182,109.166,27.2864,136.561,2.61182,9.55116,33.04896783828735,2.3511552810668945,5.81307,8.40999984741211,,,,"19709"
"Yordan Alvarez","HOU",141,609,519,155,82,32,2,39,99,117,75,8,120,10,5,0,,1,1,0.298137,0.123457,0.197531,0.625,0.393298,0.592133,0.410798,0.985431,0.293996,2.98507,0.317647,0,-1.46336,120.949,46.7455,166.633,-1.46336,0,47.159483313560486,-12.524999618530273,5.51626,15.819999694824219,,,,"19556"
"Julio Rodríguez","SEA",156,672,612,168,103,31,2,32,100,104,48,5,157,10,2,0,,34,9,0.274062,0.0713224,0.233284,0.305732,0.33581,0.487765,0.350166,0.823575,0.213703,6.01455,0.319249,0,1.79662,99.6217,17.7424,128.036,1.79662,4.55625,24.371087670326233,6.7562501430511475,5.37991,3.450000047683716,,,,"23697"
"Gunnar Henderson","BAL",154,665,583,152,89,28,7,27,107,97,71,1,164,6,5,0,,12,4,0.26025,0.10625,0.246875,0.43038,0.34375,0.472371,0.349843,0.816121,0.212121,6.32465,0.314136,0,-0.533482,98.406,17.3796,125.831,-0.533482,4.86,20.048552632331848,10.885000228881836,5.33688,32.779998779296875,,,,"26289"
"Trea Turner","PHI",157,679,623,180,116,35,4,25,102,88,47,1,133,5,4,0,,28,2,0.289517,0.0687023,0.19542,0.351562,0.341985,0.479201,0.351308,0.821186,0.189684,6.66296,0.331126,0,3.4368,101.304,18.5716,120.117,3.4368,1.59264,20.358888864517212,8.867635250091553,5.22124,11.8100004196167,,,,"16252"
"Francisco Lindor","NYM",156,672,592,150,93,28,3,26,96,93,63,2,126,9,6,1,,21,4,0.253076,0.0944272,0.187307,0.504132,0.331783,0.442882,0.333637,0.774665,0.189807,5.81297,0.277389,0,1.14634,90.3972,8.51791,113.356,1.14634,8.60544,12.26528537273407,15.805439949035645,5.0822,23.149999618530273,,,,"12916"
