Name,Team,IP,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Season,Age,NameASCII,PlayerId,MLBAMID
"Rich Hill","- - -",429.1,0.3919,,0.0992,,,0.0255,0.0636,0.3618,,,0.0286,,,,88.29360014204545,,83.68275819975754,,,85.56257109402279,70.35874391564339,71.88306510237175,,,82.02039788848725,,,5.097417857776988,,-0.9843862491777573,,,10.130054260765373,-11.080199915731969,-9.893948795758819,,,8.40662541555528,,,10.673991632634943,,4.312579049461189,,,3.7252508301974676,-0.21220896516680182,-7.878090959498619,,,4.436389923095703,,,-0.4019016142595898,,-0.1508657429795498,,,0.24205723246715588,-2.1163183093204627,-0.1282600085124485,,,1.4581205443808096,,,0.2582,0.6207,0.4585,0.6486,0.8587,0.8057,0.5524,2021,42,"Rich Hill",4806,448179
"Adam Wainwright","STL",499,0.0949,,0.2334,,,0.2868,0.0009,0.3178,,,0.0597,,,,87.86913031827177,,84.21630859375,,,88.34729291757642,75.79999651227679,72.85251982368007,,,82.28238932291667,,,-1.252609514623959,,3.0222424683141096,,,-7.785187807041485,8.090499877929688,9.068920378989361,,,-8.266666692257926,,,8.661767964627309,,3.9719850597463453,,,7.139668267262555,-1.0305100168500627,-8.446714048032407,,,4.86967298719618,,,-1.2340176747350076,,0.21670147468827566,,,-0.11932522025951652,-9.393973435674395,0.45385232930628683,,,-0.49172355490785474,,,0.2453,0.5944,0.4289,0.6534,0.9095,0.84,0.5258,2021,40,"Adam Wainwright",2233,425794
"Justin Verlander","- - -",337.1,0.5024,,,,,,0.2684,0.1939,,,0.0353,,,,94.66216982709209,,,,,,87.16630901287553,78.62405824566832,,,85.5510890794837,,,-5.494566401772067,,,,,,1.7507660828946485,3.4365662829710706,,,-9.241320402725883,,,11.41679777058655,,,,,,3.0824098600679544,-6.682999956489789,,,6.034532464068869,,,1.4969582335271132,,,,,,1.1653912731996592,1.0798169613474666,,,0.054182816782723305,,,0.3289,0.6874,0.5156,0.6407,0.8563,0.7904,0.5208,2022,40,"Justin Verlander",8700,434378
"Zack Greinke","- - -",450.1,0.3541,,0.0662,,,0.0775,0.1456,0.1692,,0.0003,0.186,,,,89.11949535069635,,85.61923243856837,,,89.69014630004438,81.42196293451812,71.82633810139022,,52.20000076293945,86.43383937589115,,,-1.5032915594670184,,3.2776603046645465,,,-8.407093065498518,5.37403199647212,6.3674656076973495,,1.590000033378601,-7.635595981612405,,,9.46051389028966,,3.4560598715757713,,,6.1324069334642735,2.1821800172618575,-6.294454822572178,,11.03499984741211,2.880043448966719,,,0.34531562243444275,,-0.40543951237430936,,,-1.6287444105004742,-0.08521069518215338,-0.2847245050264043,,4.47931345552206,0.2229289888995682,,,0.2942,0.6348,0.4617,0.6812,0.8989,0.8284,0.4917,2021,38,"Zack Greinke",1943,425844
"Charlie Morton","ATL",521,0.3365,,0.0861,,,0.1045,,0.3926,,,0.0803,,,,95.12411390923025,,88.29427690163116,,,94.57566003632127,,81.44789842381786,,,86.53166792974322,,,-7.657918904068035,,0.01599068267050183,,,-10.594341880396792,,7.8705285067316115,,,-10.638559208106722,,,7.005933215897479,,3.078107932912367,,,3.3961051807068943,,-5.149206122528094,,,0.9664148393269102,,,-0.3759551040919584,,-0.08885087805010189,,,-1.2180450155906248,,1.6923525839852647,,,0.3701056041535569,,,0.2836,0.6096,0.4463,0.4573,0.8459,0.7221,0.499,2021,38,"Charlie Morton",4676,450203
"Max Scherzer","- - -",477.1,0.462,,0.0966,,,,0.1969,0.105,,,0.1395,,,,94.03316675607361,,89.27969279707058,,,,85.02675847909556,75.7918046274808,,,84.35481582671002,,,-7.161306346264002,,-0.920806021120021,,,,0.6700796498373507,7.559636349256762,,,-9.30980257537783,,,9.312609888142822,,4.769575816699626,,,,2.0765727489067833,-5.242396942021447,,,2.184832343246666,,,1.2479974120066268,,0.5548932191932648,,,,2.073064943324177,0.43913800121498475,,,0.23049447821858762,,,0.3171,0.6863,0.5101,0.4964,0.8003,0.7101,0.5227,2021,37,"Max Scherzer",3137,453286
"Johnny Cueto","- - -",325.1,0.2805,,0.0962,,,0.1994,0.201,0.0098,,,0.2129,,,,91.73994607765582,,86.98106238215615,,,91.60933093237736,84.36452265510782,76.27600158691406,,,82.87175778105595,,,-7.4525307916396155,,-2.7705292002489514,,,-10.245781177153521,0.2347970678095232,1.5867028045654297,,,-7.453363343127408,,,8.778928053445656,,5.700278282165527,,,5.541742703301031,3.6839960444043256,-0.38240460395812986,,,2.51608565891129,,,1.1079863637331977,,-1.261195504009845,,,0.611690602362273,-0.5800421071941392,-5.594216026365757,,,-1.0865967199823234,,,0.303,0.6915,0.5019,0.7232,0.8711,0.8275,0.5119,2021,36,"Johnny Cueto",6893,456501
"Lance Lynn","- - -",462.1,0.435,,0.2603,,,0.1492,0.0382,0.0629,,,0.0543,,,,93.07199594665272,,88.74091094452423,,,91.82456497032884,84.16564526201105,81.45681838358729,,,85.68229711797248,,,-3.2885385389037283,,0.42717203584227054,,,-7.54972998855006,1.1852006717604033,5.517654923368092,,,-8.355215264279305,,,7.991117907225979,,3.173950987976867,,,4.003941658897267,-0.3655748172682159,-0.7948770601887348,,,3.699882872367019,,,0.7016550975551665,,0.2737431097533796,,,0.10448206469208937,-1.8423884410132356,-2.283039928437018,,,-2.1616178007716194,,,0.2873,0.7193,0.506,0.5573,0.8201,0.7464,0.5062,2021,35,"Lance Lynn",2520,458681
"Wade Miley","- - -",320.1,0.1725,,0.4526,,,0.0258,0.0517,0.0294,,,0.2675,,,,89.91785545173329,,85.85406305164845,,,89.99384577824519,79.06961669921876,74.49053955078125,,,82.45453107587295,,,2.2417119461270523,,-1.3792608482669098,,,8.070938638540415,-5.930550149770883,-5.093574266175966,,,9.168023887396213,,,9.831151797474805,,4.532463838512771,,,7.30551511324369,2.204057634793795,-5.072500074231947,,,4.400052100375715,,,0.6571963236319579,,0.40065055916745984,,,-1.8640919574178183,0.7064212629428276,-0.6755666756952131,,,0.45093173551391175,,,0.2633,0.6705,0.4582,0.6657,0.8538,0.7974,0.4784,2021,35,"Wade Miley",8779,489119
"Yu Darvish","SDP",497.1,0.218,,0.2755,0.066,,0.1136,0.2478,0.0451,0.0334,,0.0004,,,,94.72699277321223,,86.94721572764598,89.14952380952381,,94.34524293072455,82.80608669457128,72.28857829909471,79.14811947471217,,81.60000101725261,,,-4.484942267922794,,2.1372357145713194,-4.345748581659226,,-8.792887054713427,7.372288317319889,5.909532127274112,4.7571617069100975,,-7.1308333079020185,,,10.377548974553056,,1.3865419652340185,3.348087681361607,,6.668960031154937,-0.6976590710566892,-9.01100264950383,-7.090714504844264,,4.953863143920898,,,-0.027169796155879514,,0.17633322255862674,0.6158403612318494,,0.5802869825599204,0.9407937445430692,1.7708890357970526,2.4154209790933403,,-2.238335957129796,,,0.2831,0.6399,0.4788,0.5457,0.8381,0.76,0.5485,2021,35,"Yu Darvish",13074,506433
