"last_name, first_name","player_id","year","woba","xwoba","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break"
"Wainwright, Adam","425794","2021",".273",".302","9.4","89","2228","-1.9","-19.7","14.9",,,,,,,"6.4","82.7","1715","-13.8","-32.1","16","34.1","73.4","2835","16.6","-66.5","22.2","28.1","89.1","2229","-12.7","-22.2","17.8","22","84.9","2408","6.4","-31.1","9.4",,,,,,,,,,,,
"Greinke, Zack","425844","2021",".309",".319","40","88.9","2234","-1.3","-18","16.7","15.2","83.6","2357","7.9","-36","9","22.3","86.4","1594","-12.8","-32.1","13.7","16.7","71.1","2358","11.3","-65.1","15.7","5.7","89.5","2156","-13","-23.1","17.2","0.1","85.2","2097","5.6","-27.5","12.3",,,,,,,,,,,,
"Hill, Rich","448179","2021",".313",".323","47.1","88.1","2339","9.2","-16.1","21.5","0.5","76.5","2384","-8.2","-48.6","8.8","3","80.9","1672","13.6","-31","17.8","37.8","71.7","2713","-19.5","-66.7","23.2","2.4","84.8","2215","16.8","-30.2","19.2","2.8","83.7","2426","-1.7","-28.9","10.9",,,,,,,"6.5","69.1","2610","-23.5","-57.7","23.7"
"Morton, Charlie","450203","2021",".264",".282","36","95.5","2340","-13","-17.5","18.2",,,,,,,"5.3","86.4","2100","-18","-33.8","18.4","36.7","80.6","3053","16.6","-52.5","19.5","13.5","94.6","2116","-17.4","-24.7","18.4","8.5","87.5","2425","2.5","-31.8","5.3",,,,,,,,,,,,
"Lester, Jon","452657","2021",".352",".343","31.1","88.7","2172","5","-20","15.7",,,,,,,"18.2","81.3","1737","10.9","-34.4","13","8.4","72.6","2437","-10.3","-57.8","11.9","16.7","87.6","2042","12.3","-29.1","13.9","25.6","86.4","2305","-1.8","-25.8","10.9",,,,,,,,,,,,
"Scherzer, Max","453286","2021",".248",".263","46.7","94.3","2436","-10.6","-14.8","19.3","19.2","85.9","2273","2.9","-32.5","5.8","14.9","85","1446","-15.2","-33.9","15.9","9.8","76.9","2661","13.4","-54.4","15.8",,,,,,,"9.4","90.2","2469","-0.9","-24.6","9.3",,,,,,,,,,,,
"Happ, J.A.","457918","2021",".361",".356","53.9","91","2298","7.9","-16.1","18.8","15.1","83","2225","-2.5","-36.1","5.2","12.1","86.1","1657","13.9","-28","16.9","1.3","76.2","2231","-4.7","-52.1","7.3","17.6","89.1","2079","13.8","-26.1","16.2",,,,,,,,,,,,,,,,,,
"Lynn, Lance","458681","2021",".264",".256","42","94","2407","-6","-16","16.2",,,,,,,"4.6","87.2","1776","-13.5","-29.4","15.3","3","82.1","2473","6.5","-45","9","19.4","92.4","2228","-12.9","-25.7","14.5","31","88.7","2538","2.7","-29.8","6.3",,,,,,,,,,,,
"Miley, Wade","489119","2021",".317",".311","16.3","89.9","2239","2.8","-17.1","17","5.2","79.2","2310","-11.7","-39.9","12.8","27.3","81.9","1807","14.8","-33.9","16.4","3.5","74.7","2384","-10.5","-57.7","14.4","1.2","88.7","2025","13.7","-22.5","18.7","46.6","85.4","2276","-4","-30.4","8.2",,,,,,,,,,,,
"Minor, Mike","501985","2021",".321",".320","42.8","90.9","2544","1.9","-18.2","15","21.9","85.6","2723","-5.3","-35.1","6.2","19.6","85.2","2237","16.8","-26.1","20.5","15.7","80.4","2493","-7","-54.7","14.2",,,,,,,,,,,,,,,,,,,,,,,,
"Gibson, Kyle","502043","2021",".293",".302","12.7","92.8","2292","-5.6","-15.5","17.4","16","83.5","2513","5.6","-40.2","6.3","13.3","84.8","1641","-14.5","-33.9","15.2","9.1","79.4","2435","7.2","-51.7","11.2","34","92.3","2136","-14.9","-24.5","16.9","14.9","89.5","2367","1.7","-26.1","8.5",,,,,,,,,,,,
"Darvish, Yu","506433","2021",".301",".282","22.1","94.5","2513","-6.3","-11.8","20.1","31","86.2","2792","5.2","-35.6","5.9",,,,,,,"8.5","75.3","2714","9.3","-63.1","17","8.3","94","2402","-13.5","-18.3","19.4","2.5","91.3","2664","1.5","-19.8","13.2","4.9","88.8","1455","-7.5","-27.9","11","22.8","81.6","2759","16.3","-43.1","16.6"
"Bumgarner, Madison","518516","2021",".315",".319","33.1","90.4","2314","8.5","-18.2","17.7",,,,,,,"7.8","83.8","1434","12.8","-32","14.9","21.7","77.8","2462","-10.1","-48.4","10.8","3.2","89.8","2045","14","-22.4","18.4","34.2","86","2407","-2.9","-28.9","8.9",,,,,,,,,,,,
