Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15.0784,6.12611,14.5652,3.37873,28.2356,28.2356,0,0,176.467,708.79,132.366,72.009,66.2483,18.5669,58.321,1.09824,6.94804,248.287,12.6629,2.97443,4.25725,0.946932,0.350297,0.0822825,0.2680146247148514,0.20569,1.08058,0.302121,0.7206,,,2.91845,5.21143,4.48564,5.170000076293945,5.46757,-1.3102,1.58144,"27498"
"Zack Wheeler","PHI",12.5663,8.14866,16.2977,3.51339,29.5227,29.5227,0,0,183.657,743.919,160.024,77.9296,71.6953,20.2949,43.2923,0.935894,7.99927,191.393,9.37914,2.12152,4.42095,0.994543,0.257277,0.0581949,0.1990821361541748,0.231039,1.10705,0.290533,0.716891,,,3.44519,4.81811,4.31379,23.399999618530273,2.79599,-0.950652,1.24756,"10310"
"Kevin Gausman","TOR",11.9854,8.56038,15.1757,3.42166,30.5938,29.5269,0,0,177.681,722.999,157.177,73.4256,67.5515,20.1873,46.4805,0.672121,4.06736,207.816,10.5264,2.35436,4.47105,1.02254,0.287437,0.0642884,0.22314831614494324,0.233737,1.1462,0.308224,0.742505,,,3.24629,4.63028,4.09126,38.189998626708984,3.77457,-0.233754,1.15825,"14107"
"Logan Webb","SFG",11.761,9.59398,16.1644,3.44287,29.664,29.664,0,0,189.656,779.746,182.764,78.8599,72.5511,15.6856,40.0044,0.598563,6.9767,169.825,8.05895,1.89839,4.24515,0.744352,0.217795,0.0513044,0.16649074852466583,0.249416,1.17459,0.305302,0.716645,,,3.28249,4.58514,4.49614,50.25,5.91682,-1.51631,1.05841,"17995"
"Aaron Nola","PHI",12.0596,9.01276,13.8533,3.8942,29.8185,29.8185,0,0,185.545,751.987,167.938,87.2641,80.283,25.3209,40.0211,0.892955,5.94814,194.833,9.45053,1.94126,4.86824,1.22821,0.259091,0.0532205,0.20586999505758286,0.237867,1.12081,0.293534,0.699642,,,3.67227,4.27326,3.49331,52.81999969482422,3.05303,-1.73239,1.32725,"16149"
"Pablo López","MIN",12.0316,8.24841,14.5674,3.5272,29.4229,29.4229,0,0,180.408,737.813,158.772,76.8521,70.7039,21.4238,47.4784,1.34411,8.37942,199.685,9.96165,2.36855,4.2058,1.06877,0.270644,0.0643502,0.20629382878541946,0.232819,1.14325,0.298035,0.734145,,,3.51397,3.83306,3.81145,33.970001220703125,3.09601,-0.0217669,1.08691,"17085"
"Tarik Skubal","DET",10.4886,8.78119,11.9086,3.438,27.738,27.738,0,0,155.352,629.372,132.79,64.5049,59.3445,17.0454,41.1687,0.530228,5.19002,178.06,10.3155,2.38502,4.32513,0.987491,0.282917,0.0654123,0.21750467270612717,0.227765,1.11977,0.298382,0.72923,,,3.28431,3.82035,3.53073,44.560001373291016,3.27385,-0.483409,1.05686,"22267"
"George Kirby","SEA",12.1022,8.63665,15.0433,3.57135,29.5788,29.5788,0,0,179.354,722.36,168.995,77.3596,71.1709,21.7793,26.6889,0.974152,6.54756,169.603,8.51069,1.33925,6.35483,1.09288,0.234791,0.0369468,0.1978439800441265,0.245233,1.09105,0.295769,0.71628,,,3.49832,3.78934,3.48397,33.15999984741211,2.49856,-2.15567,1.30222,"25436"
"Zach Eflin","TBR",11.4451,8.38865,12.8335,3.64712,28.1299,28.1299,0.00298646,0,164.316,664.604,153.678,72.377,66.5868,19.9852,28.8703,1.55876,5.53808,160.068,8.7673,1.5813,5.54438,1.09464,0.240847,0.0434398,0.19740694761276245,0.243858,1.11096,0.297002,0.712765,,,3.51611,3.7144,3.4608,75.63999938964844,3.58442,-0.0927886,1.08975,"13774"
"Framber Valdez","HOU",13.6174,8.35972,16.4646,3.40289,29.0979,29.0979,0,0,186.582,776.476,165.017,76.6809,70.5464,16.8238,60.5432,0.810814,9.82791,186.703,9.00585,2.92038,3.0838,0.811518,0.240449,0.0779718,0.16247757524251938,0.233701,1.20891,0.294867,0.737002,,,3.55741,3.66598,4.33313,55.16999816894531,1.74678,-0.230835,1.32733,"17295"
