Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15,7,,3.23318,31,31,0,0,180,733,135,70,65,21,58,,9,256,12.766,2.88045,4.43192,1.04392,0.348791,0.0786996,0.2700910419225693,0.203336,1.07193,0.293946,0.751467,,,3.03309,4.95313,4.87995,5.170000076293945,,,,"27498"
"Zack Wheeler","PHI",13,9,,3.58297,32,32,0,0,196,810,178,85,78,21,51,,9,197,9.02633,2.33858,3.85975,0.966611,0.242735,0.0628888,0.17984649538993835,0.236616,1.16557,0.293772,0.721894,,,3.55723,4.95091,4.4688,23.399999618530273,,,,"10310"
"Aaron Nola","PHI",13,10,,3.82786,32,32,0,0,196,806,182,90,84,25,42,,7,203,9.30544,1.92513,4.83366,1.13893,0.251809,0.0520949,0.1997143030166626,0.239855,1.13928,0.296128,0.707296,,,3.57622,4.80941,3.93898,52.81999969482422,,,,"16149"
"Kevin Gausman","TOR",13,9,,3.45184,32,32,0,0,192,794,173,80,74,24,49,,4,215,10.0472,2.27171,4.42275,1.1377,0.270272,0.0611095,0.20916268974542618,0.23323,1.15172,0.295776,0.756226,,,3.4895,4.36003,4.20269,38.189998626708984,,,,"14107"
"Logan Webb","SFG",13,10,,3.41601,32,32,0,0,202,838,197,84,77,17,44,,8,178,7.92268,1.96022,4.04174,0.765119,0.212451,0.0525642,0.15988638252019882,0.25006,1.18988,0.303575,0.722367,,,3.36811,4.18459,4.34625,50.25,,,,"17995"
"Pablo López","MIN",12,9,,3.59395,32,32,0,0,192,792,169,83,77,22,51,,9,210,9.86951,2.41461,4.08742,1.03307,0.265435,0.0649395,0.20049530267715454,0.231184,1.15013,0.294674,0.724128,,,3.50483,4.05833,3.91889,33.970001220703125,,,,"17085"
"Luis Castillo","SEA",13,10,,3.46166,32,32,0,0,194,801,168,81,75,22,58,,7,204,9.48744,2.69215,3.52412,1.02176,0.255245,0.072428,0.18281663954257965,0.228041,1.16445,0.286191,0.743867,,,3.62882,3.76277,3.93703,28.489999771118164,,,,"15689"
"Corbin Burnes","BAL",12,9,,3.62185,32,32,0,0,197,815,170,86,79,21,61,,9,208,9.53712,2.78162,3.42862,0.960423,0.255628,0.0745571,0.18107055872678757,0.228123,1.17379,0.288853,0.718832,,,3.58741,3.75853,3.80116,19.450000762939453,,,,"19361"
"Framber Valdez","HOU",14,8,,3.36835,31,31,0,0,196,818,176,81,73,17,65,,11,188,8.60855,2.97536,2.89328,0.773729,0.229558,0.0793417,0.15021616220474243,0.236876,1.22628,0.295649,0.737506,,,3.61607,3.71482,4.51816,55.16999816894531,,,,"17295"
"George Kirby","SEA",13,10,,3.556,32,32,0,0,191,784,183,81,75,23,32,,7,177,8.35668,1.49357,5.5951,1.10024,0.225827,0.0403616,0.18546529114246368,0.245113,1.1237,0.292481,0.731237,,,3.60012,3.70284,3.744,33.15999984741211,,,,"25436"
"Yoshinobu Yamamoto","LAD",14,8,,3.77505,29,29,0,0,184,738,154,83,77,25,44,,6,191,9.32016,2.16574,4.30345,1.21038,0.258383,0.0600409,0.19834204018115997,0.224213,1.07782,0.274083,0.702225,,,3.75436,3.69773,3.48762,999,,,,"33825"
"Tarik Skubal","DET",10,9,,3.47364,29,29,0,0,158,646,138,66,61,17,41,,5,174,9.92467,2.36297,4.20008,0.991242,0.269199,0.0640937,0.20510481297969818,0.230211,1.13744,0.295556,0.732791,,,3.36941,3.69495,3.59336,44.560001373291016,,,,"22267"
"Zach Eflin","TBR",13,9,,3.51132,31,31,0,0,178,730,168,75,70,21,32,,6,173,8.71974,1.5917,5.47825,1.06232,0.236489,0.0431688,0.19332029670476913,0.24286,1.12124,0.294946,0.731728,,,3.47655,3.62808,3.55249,75.63999938964844,,,,"13774"
"Max Fried","ATL",14,7,,3.43812,31,31,0,0,179,744,170,75,68,18,47,,6,167,8.40335,2.35307,3.57122,0.882999,0.224424,0.0628424,0.1615818440914154,0.246282,1.21322,0.301354,0.740107,,,3.55073,3.60667,4.25913,59.08000183105469,,,,"13743"
"Shota Imanaga","CHC",10,8,,3.70349,29,29,0,0,169,706,156,75,69,21,47,,7,175,9.34407,2.52055,3.70716,1.11794,0.248233,0.0669605,0.18127276003360748,0.239888,1.20672,0.297154,0.739409,,,3.7522,3.35757,3.50044,999,,,,"33829"
"Shane Bieber","CLE",11,9,,3.73496,31,31,0,0,191,798,182,86,79,23,49,,6,187,8.81667,2.32294,3.79548,1.10458,0.234247,0.0617172,0.17252939194440842,0.245282,1.21319,0.298178,0.731945,,,3.75594,3.34973,3.40878,138.80999755859375,,,,"19427"
"Zac Gallen","ARI",13,10,,3.69759,32,32,0,0,197,817,180,87,81,24,56,,8,194,8.87139,2.57321,3.44759,1.09792,0.237227,0.0688095,0.16841749101877213,0.239087,1.2015,0.291568,0.734593,,,3.84628,3.34323,4.24916,40.02000045776367,,,,"19291"
