,Name_zipsdc,Team_zipsdc,W_zipsdc,L_zipsdc,QS_zipsdc,ERA_zipsdc,G_zipsdc,GS_zipsdc,SV_zipsdc,HLD_zipsdc,IP_zipsdc,TBF_zipsdc,H_zipsdc,R_zipsdc,ER_zipsdc,HR_zipsdc,BB_zipsdc,IBB_zipsdc,HBP_zipsdc,SO_zipsdc,K/9_zipsdc,BB/9_zipsdc,K/BB_zipsdc,HR/9_zipsdc,K%_zipsdc,BB%_zipsdc,K-BB%_zipsdc,AVG_zipsdc,WHIP_zipsdc,BABIP_zipsdc,LOB%_zipsdc,GB%_zipsdc,HR/FB_zipsdc,FIP_zipsdc,WAR_zipsdc,RA9-WAR_zipsdc,ADP_zipsdc,InterSD_zipsdc,InterSK_zipsdc,IntraSD_zipsdc,PlayerId_zipsdc,Name_depthcharts,Team_depthcharts,W_depthcharts,L_depthcharts,QS_depthcharts,ERA_depthcharts,G_depthcharts,GS_depthcharts,SV_depthcharts,HLD_depthcharts,IP_depthcharts,TBF_depthcharts,H_depthcharts,R_depthcharts,ER_depthcharts,HR_depthcharts,BB_depthcharts,IBB_depthcharts,HBP_depthcharts,SO_depthcharts,K/9_depthcharts,BB/9_depthcharts,K/BB_depthcharts,HR/9_depthcharts,K%_depthcharts,BB%_depthcharts,K-BB%_depthcharts,AVG_depthcharts,WHIP_depthcharts,BABIP_depthcharts,LOB%_depthcharts,GB%_depthcharts,HR/FB_depthcharts,FIP_depthcharts,WAR_depthcharts,RA9-WAR_depthcharts,ADP_depthcharts,InterSD_depthcharts,InterSK_depthcharts,IntraSD_depthcharts,PlayerId_depthcharts,Name_zips,Team_zips,W_zips,L_zips,QS_zips,ERA_zips,G_zips,GS_zips,SV_zips,HLD_zips,IP_zips,TBF_zips,H_zips,R_zips,ER_zips,HR_zips,BB_zips,IBB_zips,HBP_zips,SO_zips,K/9_zips,BB/9_zips,K/BB_zips,HR/9_zips,K%_zips,BB%_zips,K-BB%_zips,AVG_zips,WHIP_zips,BABIP_zips,LOB%_zips,GB%_zips,HR/FB_zips,FIP_zips,WAR_zips,RA9-WAR_zips,ADP_zips,InterSD_zips,InterSK_zips,IntraSD_zips,PlayerId_zips,zips_index,Name_steamer,Team_steamer,W_steamer,L_steamer,QS_steamer,ERA_steamer,G_steamer,GS_steamer,SV_steamer,HLD_steamer,IP_steamer,TBF_steamer,H_steamer,R_steamer,ER_steamer,HR_steamer,BB_steamer,IBB_steamer,HBP_steamer,SO_steamer,K/9_steamer,BB/9_steamer,K/BB_steamer,HR/9_steamer,K%_steamer,BB%_steamer,K-BB%_steamer,AVG_steamer,WHIP_steamer,BABIP_steamer,LOB%_steamer,GB%_steamer,HR/FB_steamer,FIP_steamer,WAR_steamer,RA9-WAR_steamer,ADP_steamer,InterSD_steamer,InterSK_steamer,IntraSD_steamer,PlayerId_steamer,steamer_index,Name_atc,Team_atc,W_atc,L_atc,QS_atc,ERA_atc,G_atc,GS_atc,SV_atc,HLD_atc,IP_atc,TBF_atc,H_atc,R_atc,ER_atc,HR_atc,BB_atc,IBB_atc,HBP_atc,SO_atc,K/9_atc,BB/9_atc,K/BB_atc,HR/9_atc,K%_atc,BB%_atc,K-BB%_atc,AVG_atc,WHIP_atc,BABIP_atc,LOB%_atc,GB%_atc,HR/FB_atc,FIP_atc,WAR_atc,RA9-WAR_atc,ADP_atc,InterSD_atc,InterSK_atc,IntraSD_atc,PlayerId_atc,Name_thebat,Team_thebat,W_thebat,L_thebat,QS_thebat,ERA_thebat,G_thebat,GS_thebat,SV_thebat,HLD_thebat,IP_thebat,TBF_thebat,H_thebat,R_thebat,ER_thebat,HR_thebat,BB_thebat,IBB_thebat,HBP_thebat,SO_thebat,K/9_thebat,BB/9_thebat,K/BB_thebat,HR/9_thebat,K%_thebat,BB%_thebat,K-BB%_thebat,AVG_thebat,WHIP_thebat,BABIP_thebat,LOB%_thebat,GB%_thebat,HR/FB_thebat,FIP_thebat,WAR_thebat,RA9-WAR_thebat,ADP_thebat,InterSD_thebat,InterSK_thebat,IntraSD_thebat,PlayerId_thebat
0,Aaron Nola,PHI,13,9,,3.83509,32,32,0,0,195,794,178,90,83,22,39,,6,203,9.36359,1.79303,5.22222,0.996126,0.255782,0.0489796,0.2068027108907699,0.238095,1.11234,0.298969,0.682081,,,3.31038,5.32131,3.7882,52.81999969482422,,,,16149,Aaron Nola,PHI,13,10,,3.82786,32,32,0,0,196,806,182,90,84,25,42,,7,203,9.30544,1.92513,4.83366,1.13893,0.251809,0.0520949,0.1997143030166626,0.239855,1.13928,0.296128,0.707296,,,3.57622,4.80941,3.93898,52.81999969482422,,,,16149,Aaron Nola,PHI,12,8,,3.83509,30,30,0,0,180.7,735,165,83,77,20,36,1,6,188,9.36359,1.79303,5.22222,0.996126,0.255782,0.0489796,0.2068027146160602,0.238095,1.11234,0.298969,0.682081,,,3.31038,4.92919,3.55191,52.81999969482422,,,,16149,0,Aaron Nola,PHI,12.4535,10.2841,18.2758,3.82072,32.0,32.0,0.0,0.0,195.107,808.565,182.91,89.4063,82.8276,27.7485,44.5632,,6.8162,200.483,9.24799,2.05564,4.49884,1.28,0.247949,0.0551139,0.1928349621593952,0.241565,1.16589,0.293336,0.731963,0.422084,,3.83884,4.20985,4.00154,52.81999969482422,,,,16149,3,Aaron Nola,PHI,12.0596,9.01276,13.8533,3.8942,29.8185,29.8185,0.0,0.0,185.545,751.987,167.938,87.2641,80.283,25.3209,40.0211,0.892955,5.94814,194.833,9.45053,1.94126,4.86824,1.22821,0.259091,0.0532205,0.2058699950575828,0.237867,1.12081,0.293534,0.699642,,,3.67227,4.27326,3.49331,52.81999969482422,3.05303,-1.73239,1.32725,16149,Aaron Nola,PHI,12.1973,9.20739,13.5659,3.78021,30.17,30.17,0.0,0.0,177.943,725.928,158.202,80.57,74.74,25.5281,38.1046,0.451833,6.54014,189.748,9.59711,1.92726,4.97967,1.29116,0.261387,0.0524908,0.2088962979614734,0.232212,1.1032,0.284704,0.720799,,,3.74005,3.98711,3.45286,52.81999969482422,,,,16149
1,Spencer Strider,ATL,16,7,,3.28386,31,31,0,0,176,713,132,69,64,21,53,,10,254,13.0241,2.72727,4.77551,1.05751,0.356164,0.0745814,0.2815829664468765,0.203673,1.05751,0.297688,0.740997,,,2.96438,5.087,4.80095,5.170000076293945,,,,27498,Spencer Strider,ATL,15,7,,3.23318,31,31,0,0,180,733,135,70,65,21,58,,9,256,12.766,2.88045,4.43192,1.04392,0.348791,0.0786996,0.2700910419225693,0.203336,1.07193,0.293946,0.751467,,,3.03309,4.95313,4.87995,5.170000076293945,,,,27498,Spencer Strider,ATL,15,6,,3.28386,30,28,0,0,161.7,657,122,64,59,19,49,1,9,234,13.0241,2.72727,4.77551,1.05751,0.356164,0.0745814,0.2815829664468765,0.203673,1.05751,0.297688,0.740997,,,2.96438,4.64233,4.31433,5.170000076293945,,,,27498,1,Spencer Strider,ATL,14.5204,7.0529,19.2653,3.18504,30.78,30.78,0.0,0.0,184.802,752.143,138.491,70.4928,65.4001,21.17,62.1338,,7.8742,257.094,12.5207,3.02597,4.13775,1.031,0.341815,0.082609,0.2592061460018158,0.203026,1.08562,0.290492,0.761065,0.371295,,3.09837,4.91435,5.20743,5.170000076293945,,,,27498,0,Spencer Strider,ATL,15.0784,6.12611,14.5652,3.37873,28.2356,28.2356,0.0,0.0,176.467,708.79,132.366,72.009,66.2483,18.5669,58.321,1.09824,6.94804,248.287,12.6629,2.97443,4.25725,0.946932,0.350297,0.0822825,0.2680146247148514,0.20569,1.08058,0.302121,0.7206,,,2.91845,5.21143,4.48564,5.170000076293945,5.46757,-1.3102,1.58144,27498,Spencer Strider,ATL,14.6774,6.78074,13.4325,3.11002,29.632,29.632,0.0,0.0,178.118,719.999,131.189,66.2,61.55,21.0246,54.5823,0.537531,6.4659,262.612,13.2693,2.75795,4.8113,1.06234,0.364739,0.0758089,0.288930132985115,0.199087,1.04297,0.293525,0.764831,,,2.86901,5.74444,5.10315,5.170000076293945,,,,27498
2,Zack Wheeler,PHI,12,8,,3.61047,32,32,0,0,192,797,173,84,77,18,54,,8,192,9.0,2.51163,3.58333,0.837209,0.241234,0.0673212,0.1739130467176437,0.235562,1.18023,0.295745,0.708749,,,3.42365,5.07418,4.21804,23.399999618530277,,,,10310,Zack Wheeler,PHI,13,9,,3.58297,32,32,0,0,196,810,178,85,78,21,51,,9,197,9.02633,2.33858,3.85975,0.966611,0.242735,0.0628888,0.1798464953899383,0.236616,1.16557,0.293772,0.721894,,,3.55723,4.95091,4.4688,23.399999618530277,,,,10310,Zack Wheeler,PHI,11,7,,3.61047,29,29,0,0,172.0,713,155,75,69,16,48,1,7,172,9.0,2.51163,3.58333,0.837209,0.241234,0.0673212,0.1739130467176437,0.235562,1.18023,0.295745,0.708749,,,3.42365,4.54406,3.80465,23.399999618530277,,,,10310,2,Zack Wheeler,PHI,13.0893,9.7561,19.5855,3.55654,32.0,32.0,0.0,0.0,197.442,813.188,179.694,84.7965,78.0234,23.9344,47.6544,,9.3533,198.575,9.05163,2.17223,4.16698,1.091,0.244193,0.0586019,0.1855910383164882,0.237634,1.15147,0.291865,0.735409,0.438088,,3.68565,4.70035,4.56328,23.399999618530277,,,,10310,1,Zack Wheeler,PHI,12.5663,8.14866,16.2977,3.51339,29.5227,29.5227,0.0,0.0,183.657,743.919,160.024,77.9296,71.6953,20.2949,43.2923,0.935894,7.99927,191.393,9.37914,2.12152,4.42095,0.994543,0.257277,0.0581949,0.1990821361541748,0.231039,1.10705,0.290533,0.716891,,,3.44519,4.81811,4.31379,23.399999618530277,2.79599,-0.950652,1.24756,10310,Zack Wheeler,PHI,12.989,8.44827,13.4564,3.40993,29.944,29.944,0.0,0.0,178.077,725.745,151.042,72.21,67.47,20.1562,44.3715,0.472287,6.76663,193.29,9.76884,2.24253,4.35617,1.0187,0.266332,0.0611392,0.2051932737231254,0.223897,1.09736,0.283818,0.736887,,,3.41714,4.80199,4.42742,23.399999618530277,,,,10310
3,Corbin Burnes,BAL,11,8,,3.46347,32,32,0,0,194,788,157,81,75,17,59,,9,206,9.58728,2.76074,3.47273,0.803123,0.261644,0.0753425,0.1863013580441475,0.217391,1.11545,0.280435,0.703829,,,3.3387,4.37197,4.23506,19.450000762939453,,,,19361,Corbin Burnes,BAL,12,9,,3.62185,32,32,0,0,197,815,170,86,79,21,61,,9,208,9.53712,2.78162,3.42862,0.960423,0.255628,0.0745571,0.1810705587267875,0.228123,1.17379,0.288853,0.718832,,,3.58741,3.75853,3.80116,19.450000762939453,,,,19361,Corbin Burnes,BAL,10,7,,3.46347,30,30,0,0,179.3,730,145,75,69,16,55,0,8,191,9.58728,2.76074,3.47273,0.803123,0.261644,0.0753425,0.1863013580441475,0.217391,1.11545,0.280435,0.703829,,,3.3387,4.03969,3.89785,19.450000762939453,,,,19361,4,Corbin Burnes,BAL,12.4802,10.3795,18.771,3.77548,32.0,32.0,0.0,0.0,197.174,831.607,181.214,89.9076,82.714,24.3838,61.3842,,9.2358,207.875,9.48846,2.80188,3.38646,1.113,0.249968,0.073814,0.1761540099978447,0.23813,1.23038,0.296617,0.732466,0.454954,,3.82864,3.17097,3.34252,19.450000762939453,,,,19361,18,Corbin Burnes,BAL,11.2892,7.99542,15.526,3.54425,29.4977,29.4977,0.0,0.0,181.761,743.054,153.024,77.8025,71.5783,20.6823,54.743,0.525414,8.18155,195.828,9.69653,2.71064,3.57721,1.0241,0.263544,0.073673,0.1898711323738098,0.224992,1.14308,0.285452,0.726822,,,3.61809,3.48452,3.75178,19.450000762939453,6.6417,0.340984,1.04483,19361,Corbin Burnes,BAL,12.0361,9.18646,13.1557,3.58981,29.95,29.95,0.0,0.0,175.597,727.677,151.312,75.04,70.04,20.3737,54.1956,0.39373,7.31109,187.735,9.62211,2.77773,3.46402,1.04423,0.257992,0.0744776,0.183514267206192,0.227138,1.17034,0.285854,0.737171,,,3.67594,3.91302,3.95884,19.450000762939453,,,,19361
4,Logan Webb,SFG,14,9,,3.32812,32,32,0,0,201,824,189,80,74,17,43,,7,173,7.78125,1.92187,4.04878,0.75,0.21066,0.0520305,0.1586294509470462,0.244595,1.15625,0.295699,0.726453,,,3.35921,4.33987,4.88774,50.25,,,,17995,Logan Webb,SFG,13,10,,3.41601,32,32,0,0,202,838,197,84,77,17,44,,8,178,7.92268,1.96022,4.04174,0.765119,0.212451,0.0525642,0.1598863825201988,0.25006,1.18988,0.303575,0.722367,,,3.36811,4.18459,4.34625,50.25,,,,17995,Logan Webb,SFG,13,9,,3.32812,31,31,0,0,192.0,788,181,77,71,16,41,0,7,166,7.78125,1.92188,4.04878,0.75,0.21066,0.0520305,0.158629436045885,0.244595,1.15625,0.295699,0.726453,,,3.35921,4.14466,4.60059,50.25,,,,17995,3,Logan Webb,SFG,12.5354,10.5723,20.4154,3.5025,32.0,32.0,0.0,0.0,201.377,842.229,201.575,86.8675,78.3691,17.4527,44.7046,,8.1031,180.386,8.06187,1.99795,4.03507,0.78,0.214177,0.0530789,0.1610979922115802,0.255345,1.22298,0.311237,0.718571,0.562575,,3.37688,4.09293,3.8967,50.25,,,,17995,4,Logan Webb,SFG,11.761,9.59398,16.1644,3.44287,29.664,29.664,0.0,0.0,189.656,779.746,182.764,78.8599,72.5511,15.6856,40.0044,0.598563,6.9767,169.825,8.05895,1.89839,4.24515,0.744352,0.217795,0.0513044,0.1664907485246658,0.249416,1.17459,0.305302,0.716645,,,3.28249,4.58514,4.49614,50.25,5.91682,-1.51631,1.05841,17995,Logan Webb,SFG,12.4364,9.07738,13.457,3.45012,30.146,30.146,0.0,0.0,178.585,733.753,169.994,73.96,68.46,14.2088,38.6254,0.400149,6.81131,157.538,7.93933,1.94657,4.07862,0.716069,0.214702,0.0526409,0.1620611883699894,0.246971,1.16818,0.301577,0.713514,,,3.28835,4.52211,4.27674,50.25,,,,17995
5,Yoshinobu Yamamoto,LAD,16,8,,3.62522,29,29,0,0,192,739,146,84,77,24,40,,6,188,8.82662,1.89142,4.66667,1.10333,0.254932,0.0546282,0.2003034651279449,0.210356,0.96906,0.254079,0.666179,,,3.6053,4.33259,3.95234,999.0,,,,33825,Yoshinobu Yamamoto,LAD,14,8,,3.77505,29,29,0,0,184,738,154,83,77,25,44,,6,191,9.32016,2.16574,4.30345,1.21038,0.258383,0.0600409,0.1983420401811599,0.224213,1.07782,0.274083,0.702225,,,3.75436,3.69773,3.48762,999.0,,,,33825,Yoshinobu Yamamoto,LAD,14,7,,3.62522,26,26,0,0,171.3,659,130,75,69,21,36,0,5,168,8.82662,1.89142,4.66667,1.10333,0.254932,0.0546282,0.2003034949302673,0.210356,0.96906,0.254079,0.666179,,,3.6053,3.86512,3.5198,999.0,,,,33825,7,Yoshinobu Yamamoto,LAD,11.8693,8.7384,16.0421,3.93829,29.16,29.16,0.0,0.0,176.349,736.935,162.674,82.8607,77.168,26.0016,48.2921,,6.7024,193.157,9.85784,2.4646,3.99977,1.327,0.262109,0.065531,0.1965779960155487,0.238546,1.1963,0.295328,0.73386,0.401387,,3.91674,3.09524,2.94187,999.0,,,,33825,20,Yoshinobu Yamamoto,LAD,11.8856,7.4502,12.7075,3.68952,26.1931,26.1931,0.0,0.0,161.31,657.351,140.737,71.8788,66.1285,19.1093,42.9717,1.32181,5.84356,172.792,9.64063,2.39753,4.02107,1.06617,0.262862,0.0653711,0.1974905058741569,0.231271,1.13885,0.291928,0.712493,,,3.56055,3.53593,3.25908,999.0,5.40245,1.00468,0.986571,33825,Yoshinobu Yamamoto,LAD,10.5109,6.83231,8.63269,3.67977,26.486,26.486,0.0,0.0,137.356,565.794,121.837,60.25,56.16,15.452,35.4824,0.284532,4.93506,134.288,8.79896,2.32491,3.78464,1.01246,0.237345,0.0627126,0.1746320873498916,0.231903,1.14533,0.283212,0.715393,,,3.64491,3.1655,2.90233,999.0,,,,33825
6,Kevin Gausman,TOR,13,8,,3.46154,32,32,0,0,189,781,177,78,73,25,45,,3,206,9.79882,2.13018,4.6,1.1716,0.263233,0.0572246,0.2060085795819759,0.240854,1.1716,0.302222,0.76555,,,3.53315,4.278,4.30468,38.18999862670898,,,,14107,Kevin Gausman,TOR,13,9,,3.45184,32,32,0,0,192,794,173,80,74,24,49,,4,215,10.0472,2.27171,4.42275,1.1377,0.270272,0.0611095,0.2091626897454261,0.23323,1.15172,0.295776,0.756226,,,3.4895,4.36003,4.20269,38.18999862670898,,,,14107,Kevin Gausman,TOR,12,7,,3.46154,29,29,0,0,169.0,699,158,70,65,22,40,0,3,184,9.79882,2.13018,4.6,1.1716,0.263233,0.0572246,0.2060085795819759,0.240854,1.1716,0.302222,0.76555,,,3.53315,3.82441,3.81993,38.18999862670898,,,,14107,8,Kevin Gausman,TOR,12.9921,9.6108,19.3129,3.44248,32.0,32.0,0.0,0.0,193.298,797.433,167.194,80.2127,73.9359,23.7326,51.7231,,5.1195,220.935,10.2868,2.40824,4.2715,1.105,0.277058,0.064862,0.2121958881616592,0.225758,1.13254,0.289283,0.746962,0.408529,,3.4474,4.45423,4.24514,38.18999862670898,,,,14107,2,Kevin Gausman,TOR,11.9854,8.56038,15.1757,3.42166,30.5938,29.5269,0.0,0.0,177.681,722.999,157.177,73.4256,67.5515,20.1873,46.4805,0.672121,4.06736,207.816,10.5264,2.35436,4.47105,1.02254,0.287437,0.0642884,0.2231483161449432,0.233737,1.1462,0.308224,0.742505,,,3.24629,4.63028,4.09126,38.18999862670898,3.77457,-0.233754,1.15825,14107,Kevin Gausman,TOR,11.6066,9.10948,13.4839,3.73017,28.88,28.88,0.0,0.0,173.453,712.354,149.484,77.04,71.89,22.8965,46.0684,0.399654,4.74745,208.385,10.8125,2.39036,4.52339,1.18803,0.292531,0.0646706,0.2278599590063095,0.225964,1.1274,0.294213,0.724858,,,3.4472,4.33372,3.5394,38.18999862670898,,,,14107
7,Luis Castillo,SEA,13,9,,3.26716,32,32,0,0,190,775,158,75,69,19,56,,6,202,9.54623,2.65457,3.59615,0.918888,0.260446,0.0724234,0.1880222856998443,0.221212,1.12309,0.281319,0.746528,,,3.44789,4.21762,4.46078,28.489999771118164,,,,15689,Luis Castillo,SEA,13,10,,3.46166,32,32,0,0,194,801,168,81,75,22,58,,7,204,9.48744,2.69215,3.52412,1.02176,0.255245,0.072428,0.1828166395425796,0.228041,1.16445,0.286191,0.743867,,,3.62882,3.76277,3.93703,28.489999771118164,,,,15689,Luis Castillo,SEA,12,8,,3.26716,30,30,0,0,176.3,718,146,69,64,18,52,1,6,187,9.54623,2.65457,3.59615,0.918888,0.260446,0.0724234,0.1880222856998443,0.221212,1.12309,0.281319,0.746528,,,3.44789,3.91285,4.2065,28.489999771118164,,,,15689,6,Luis Castillo,SEA,12.3898,10.3399,18.8491,3.6493,32.0,32.0,0.0,0.0,194.922,815.914,175.664,85.9033,79.0365,24.2786,59.0917,,7.495,204.25,9.43071,2.7284,3.4565,1.121,0.250333,0.0724239,0.1779090762138366,0.234429,1.20436,0.290679,0.741423,0.435129,,3.80337,3.33961,3.41427,28.489999771118164,,,,15689,13,Luis Castillo,SEA,13.1185,8.90438,15.0825,3.53592,29.7843,29.7843,0.0,0.0,185.208,756.091,156.24,79.0919,72.7645,21.8062,55.9446,1.17239,6.80263,197.361,9.59054,2.71857,3.52779,1.05965,0.261028,0.073992,0.1870358362793922,0.225343,1.14565,0.28351,0.732664,,,3.67079,3.60246,3.66701,28.489999771118164,3.06577,0.0207978,1.13464,15689,Luis Castillo,SEA,11.9404,9.65456,13.7332,3.6302,30.261,30.261,0.0,0.0,179.841,743.371,151.689,78.13,72.54,21.7566,58.0207,0.414353,6.64144,194.014,9.70926,2.9036,3.34387,1.08879,0.260992,0.0780507,0.18294108659029,0.223496,1.16608,0.280668,0.734055,,,3.74878,3.90943,3.91016,28.489999771118164,,,,15689
8,Pablo López,MIN,11,8,,3.67876,32,32,0,0,188,772,164,83,77,22,49,,10,204,9.79275,2.33161,4.2,1.03627,0.264336,0.0629371,0.201398603618145,0.229955,1.13414,0.292035,0.710059,,,3.50835,4.01317,3.69677,33.970001220703125,,,,17085,Pablo López,MIN,12,9,,3.59395,32,32,0,0,192,792,169,83,77,22,51,,9,210,9.86951,2.41461,4.08742,1.03307,0.265435,0.0649395,0.2004953026771545,0.231184,1.15013,0.294674,0.724128,,,3.50483,4.05833,3.91889,33.970001220703125,,,,17085,Pablo López,MIN,10,7,,3.67876,30,30,0,0,173.7,715,152,77,71,20,45,1,9,189,9.79275,2.33161,4.2,1.03627,0.264336,0.0629371,0.2013985961675644,0.229955,1.13414,0.292035,0.710059,,,3.50835,3.70718,3.3812,33.970001220703125,,,,17085,9,Pablo López,MIN,12.7342,9.8797,19.0606,3.51265,32.0,32.0,0.0,0.0,193.266,801.268,171.682,82.025,75.4306,22.1182,53.56,,8.814,213.518,9.94309,2.49418,3.98652,1.03,0.266475,0.0668441,0.199630968272686,0.232351,1.16545,0.297192,0.737182,0.440688,,3.50145,4.07243,4.08104,33.970001220703125,,,,17085,5,Pablo López,MIN,12.0316,8.24841,14.5674,3.5272,29.4229,29.4229,0.0,0.0,180.408,737.813,158.772,76.8521,70.7039,21.4238,47.4784,1.34411,8.37942,199.685,9.96165,2.36855,4.2058,1.06877,0.270644,0.0643502,0.2062938287854194,0.232819,1.14325,0.298035,0.734145,,,3.51397,3.83306,3.81145,33.970001220703125,3.09601,-0.0217669,1.08691,17085,Pablo López,MIN,11.6223,9.28806,12.6348,3.5101,29.685,29.685,0.0,0.0,171.995,708.155,147.741,72.21,67.08,19.4069,47.1412,0.54792,8.02611,194.357,10.1701,2.46677,4.12286,1.01551,0.274455,0.0665691,0.2078862488269806,0.226254,1.13307,0.292184,0.731443,,,3.4241,4.38291,4.008,33.970001220703125,,,,17085
9,Zach Eflin,TBR,14,8,,3.37423,31,31,0,0,172,701,160,69,65,19,28,,5,168,8.77301,1.47239,5.95833,0.981595,0.239933,0.0402685,0.1996644400060176,0.239437,1.09066,0.293399,0.734012,,,3.29594,3.94991,3.8822,75.63999938964844,,,,13774,Zach Eflin,TBR,13,9,,3.51132,31,31,0,0,178,730,168,75,70,21,32,,6,173,8.71974,1.5917,5.47825,1.06232,0.236489,0.0431688,0.1933202967047691,0.24286,1.12124,0.294946,0.731728,,,3.47655,3.62808,3.55249,75.63999938964844,,,,13774,Zach Eflin,TBR,12,7,,3.37423,27,26,0,0,146.7,596,136,59,55,16,24,2,4,143,8.77301,1.47239,5.95833,0.981595,0.239933,0.0402685,0.1996644251048565,0.239437,1.09066,0.293399,0.734012,,,3.29594,3.3565,3.2817,75.63999938964844,,,,13774,13,Zach Eflin,TBR,11.9202,9.7326,17.5895,3.63985,30.78,30.78,0.0,0.0,183.966,759.563,176.722,80.9504,74.401,23.2615,34.8221,,6.4897,177.217,8.6698,1.70357,5.0892,1.138,0.233314,0.0458449,0.1874689720571041,0.246045,1.14991,0.296386,0.729664,0.45091,,3.64588,3.35306,3.27094,75.63999938964844,,,,13774,12,Zach Eflin,TBR,11.4451,8.38865,12.8335,3.64712,28.1299,28.1299,0.00298646,0.0,164.316,664.604,153.678,72.377,66.5868,19.9852,28.8703,1.55876,5.53808,160.068,8.7673,1.5813,5.54438,1.09464,0.240847,0.0434398,0.1974069476127624,0.243858,1.11096,0.297002,0.712765,,,3.51611,3.7144,3.4608,75.63999938964844,3.58442,-0.0927886,1.08975,13774,Zach Eflin,TBR,10.2347,8.74999,9.74255,3.51003,28.268,28.268,0.0,0.0,150.357,608.474,132.261,63.27,58.64,19.0581,29.8445,0.518325,5.00199,145.962,8.73688,1.78641,4.89074,1.14077,0.239881,0.0490481,0.190833318978548,0.230569,1.07813,0.277044,0.729821,,,3.65656,3.45069,3.4679,75.63999938964844,,,,13774
