Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",14.5204,7.0529,19.2653,3.18504,30.78,30.78,0,0,184.802,752.143,138.491,70.4928,65.4001,21.17,62.1338,,7.8742,257.094,12.5207,3.02597,4.13775,1.031,0.341815,0.082609,0.2592061460018158,0.203026,1.08562,0.290492,0.761065,0.371295,,3.09837,4.91435,5.20743,5.170000076293945,,,,"27498"
"Zack Wheeler","PHI",13.0893,9.7561,19.5855,3.55654,32,32,0,0,197.442,813.188,179.694,84.7965,78.0234,23.9344,47.6544,,9.3533,198.575,9.05163,2.17223,4.16698,1.091,0.244193,0.0586019,0.18559103831648827,0.237634,1.15147,0.291865,0.735409,0.438088,,3.68565,4.70035,4.56328,23.399999618530273,,,,"10310"
"Kevin Gausman","TOR",12.9921,9.6108,19.3129,3.44248,32,32,0,0,193.298,797.433,167.194,80.2127,73.9359,23.7326,51.7231,,5.1195,220.935,10.2868,2.40824,4.2715,1.105,0.277058,0.064862,0.21219588816165924,0.225758,1.13254,0.289283,0.746962,0.408529,,3.4474,4.45423,4.24514,38.189998626708984,,,,"14107"
"Aaron Nola","PHI",12.4535,10.2841,18.2758,3.82072,32,32,0,0,195.107,808.565,182.91,89.4063,82.8276,27.7485,44.5632,,6.8162,200.483,9.24799,2.05564,4.49884,1.28,0.247949,0.0551139,0.19283496215939522,0.241565,1.16589,0.293336,0.731963,0.422084,,3.83884,4.20985,4.00154,52.81999969482422,,,,"16149"
"Logan Webb","SFG",12.5354,10.5723,20.4154,3.5025,32,32,0,0,201.377,842.229,201.575,86.8675,78.3691,17.4527,44.7046,,8.1031,180.386,8.06187,1.99795,4.03507,0.78,0.214177,0.0530789,0.16109799221158028,0.255345,1.22298,0.311237,0.718571,0.562575,,3.37688,4.09293,3.8967,50.25,,,,"17995"
"Pablo López","MIN",12.7342,9.8797,19.0606,3.51265,32,32,0,0,193.266,801.268,171.682,82.025,75.4306,22.1182,53.56,,8.814,213.518,9.94309,2.49418,3.98652,1.03,0.266475,0.0668441,0.199630968272686,0.232351,1.16545,0.297192,0.737182,0.440688,,3.50145,4.07243,4.08104,33.970001220703125,,,,"17085"
"Framber Valdez","HOU",13.8779,8.3655,20.3008,3.39279,30.78,30.78,0,0,195.497,811.192,179.699,81.6183,73.6979,16.7693,62.9233,,9.8714,197.208,9.07876,2.89677,3.1341,0.772,0.243109,0.0775689,0.1655399650335312,0.243364,1.24106,0.310686,0.734691,0.570403,,3.46972,4.04288,4.34116,55.16999816894531,,,,"17295"
"Tarik Skubal","DET",11.3923,8.9311,17.1555,3.32939,29.16,29.16,0,0,171.185,702.441,147.997,68.9205,63.3268,19.439,46.6484,,6.3824,197.596,10.3886,2.45253,4.23586,1.022,0.281299,0.066409,0.21488994359970093,0.227895,1.13705,0.29733,0.750907,0.432117,,3.35205,4.03393,4.15487,44.560001373291016,,,,"22267"
"Tyler Glasnow","LAD",11.1311,6.9542,15.0098,3.48044,25.92,25.92,0,0,153.339,629.728,127.585,64.302,59.2985,18.6051,48.2359,,4.1921,190.682,11.1918,2.83114,3.95311,1.092,0.3028,0.076598,0.22620224952697754,0.221003,1.14662,0.29613,0.744582,0.4429,,3.37104,3.66081,3.43915,37.97999954223633,,,,"14374"
"Zac Gallen","ARI",12.4888,10.3189,18.4817,3.81779,32,32,0,0,196.31,824.139,185.494,90.1015,83.2745,23.6662,54.3371,,8.1936,202.421,9.28016,2.49113,3.72528,1.085,0.245615,0.065932,0.17968304455280304,0.243556,1.2217,0.302188,0.724388,0.428457,,3.7156,3.64049,3.87224,40.02000045776367,,,,"19291"
"George Kirby","SEA",12.3201,10.2079,18.3666,3.62751,32,32,0,0,191.482,787.022,182.178,83.7383,77.1783,25.1055,32.748,,7.8293,183.303,8.61555,1.53921,5.59738,1.18,0.232907,0.04161,0.19129694625735283,0.244061,1.12243,0.291937,0.72972,0.429722,,3.68065,3.48666,3.3811,33.15999984741211,,,,"25436"
"Max Fried","ATL",13.5172,8.0928,17.843,3.59436,30.78,30.78,0,0,184.58,773.27,181.116,80.8629,73.7162,20.3653,46.6607,,6.9602,175.994,8.58137,2.27515,3.77178,0.993,0.227597,0.0603421,0.16725489869713783,0.251673,1.23403,0.307193,0.737278,0.49656,,3.65391,3.4791,4.00769,59.08000183105469,,,,"13743"
"Zach Eflin","TBR",11.9202,9.7326,17.5895,3.63985,30.78,30.78,0,0,183.966,759.563,176.722,80.9504,74.401,23.2615,34.8221,,6.4897,177.217,8.6698,1.70357,5.0892,1.138,0.233314,0.0458449,0.1874689720571041,0.246045,1.14991,0.296386,0.729664,0.45091,,3.64588,3.35306,3.27094,75.63999938964844,,,,"13774"
