Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",14.6774,6.78074,13.4325,3.11002,29.632,29.632,0,0,178.118,719.999,131.189,66.2,61.55,21.0246,54.5823,0.537531,6.4659,262.612,13.2693,2.75795,4.8113,1.06234,0.364739,0.0758089,0.28893013298511505,0.199087,1.04297,0.293525,0.764831,,,2.86901,5.74444,5.10315,5.170000076293945,,,,"27498"
"Zack Wheeler","PHI",12.989,8.44827,13.4564,3.40993,29.944,29.944,0,0,178.077,725.745,151.042,72.21,67.47,20.1562,44.3715,0.472287,6.76663,193.29,9.76884,2.24253,4.35617,1.0187,0.266332,0.0611392,0.20519327372312546,0.223897,1.09736,0.283818,0.736887,,,3.41714,4.80199,4.42742,23.399999618530273,,,,"10310"
"Logan Webb","SFG",12.4364,9.07738,13.457,3.45012,30.146,30.146,0,0,178.585,733.753,169.994,73.96,68.46,14.2088,38.6254,0.400149,6.81131,157.538,7.93933,1.94657,4.07862,0.716069,0.214702,0.0526409,0.1620611883699894,0.246971,1.16818,0.301577,0.713514,,,3.28835,4.52211,4.27674,50.25,,,,"17995"
"Pablo López","MIN",11.6223,9.28806,12.6348,3.5101,29.685,29.685,0,0,171.995,708.155,147.741,72.21,67.08,19.4069,47.1412,0.54792,8.02611,194.357,10.1701,2.46677,4.12286,1.01551,0.274455,0.0665691,0.2078862488269806,0.226254,1.13307,0.292184,0.731443,,,3.4241,4.38291,4.008,33.970001220703125,,,,"17085"
"Kevin Gausman","TOR",11.6066,9.10948,13.4839,3.73017,28.88,28.88,0,0,173.453,712.354,149.484,77.04,71.89,22.8965,46.0684,0.399654,4.74745,208.385,10.8125,2.39036,4.52339,1.18803,0.292531,0.0646706,0.2278599590063095,0.225964,1.1274,0.294213,0.724858,,,3.4472,4.33372,3.5394,38.189998626708984,,,,"14107"
"Freddy Peralta","MIL",11.2226,8.64699,11.7526,3.46012,28.36,28.36,0,0,162.645,664.195,125.076,66.72,62.53,20.8176,53.9167,0.382628,6.96461,199.221,11.024,2.9835,3.69498,1.15195,0.299943,0.0811759,0.2187674716114998,0.207314,1.10051,0.272019,0.749243,,,3.59216,4.02351,3.93456,50.47999954223633,,,,"18679"
"Aaron Nola","PHI",12.1973,9.20739,13.5659,3.78021,30.17,30.17,0,0,177.943,725.928,158.202,80.57,74.74,25.5281,38.1046,0.451833,6.54014,189.748,9.59711,1.92726,4.97967,1.29116,0.261387,0.0524908,0.20889629796147346,0.232212,1.1032,0.284704,0.720799,,,3.74005,3.98711,3.45286,52.81999969482422,,,,"16149"
"George Kirby","SEA",11.0487,9.52038,11.7934,3.62992,29.766,29.766,0,0,166.838,677.828,153.921,72.47,67.29,20.6872,28.2699,0.471339,5.73844,154.371,8.32743,1.525,5.4606,1.11596,0.227743,0.0417065,0.18603629618883133,0.239074,1.09202,0.284224,0.716059,,,3.62796,3.91615,3.66273,33.15999984741211,,,,"25436"
"Corbin Burnes","BAL",12.0361,9.18646,13.1557,3.58981,29.95,29.95,0,0,175.597,727.677,151.312,75.04,70.04,20.3737,54.1956,0.39373,7.31109,187.735,9.62211,2.77773,3.46402,1.04423,0.257992,0.0744776,0.18351426720619202,0.227138,1.17034,0.285854,0.737171,,,3.67594,3.91302,3.95884,19.450000762939453,,,,"19361"
"Luis Castillo","SEA",11.9404,9.65456,13.7332,3.6302,30.261,30.261,0,0,179.841,743.371,151.689,78.13,72.54,21.7566,58.0207,0.414353,6.64144,194.014,9.70926,2.9036,3.34387,1.08879,0.260992,0.0780507,0.18294108659029007,0.223496,1.16608,0.280668,0.734055,,,3.74878,3.90943,3.91016,28.489999771118164,,,,"15689"
